parent_mol_id,seed_smiles,status,atom_a,atom_b,path_bonds,linker_length,target_ring,anchor_score_a,anchor_score_b,linker_probability,chemotype,generated_smiles,extracted_linker_smiles,known_linker_smiles,candidate_id,inchikey
JAK2_0363b39a60,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,no_valid_anchor_pair,,,,,,,,,,,,,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,rejected_known_linker,19.0,25.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,dithio,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CCCC4CC42)CC3)C1,[10*]N[C@H]([27*])C(=O)N1CC[C@@H](C#N)C1;[10*]c1c[nH]c2ncc(C3([22*])CC3)nc12;[10*]c1c[nH]c2ncc([21*])nc12;[18*]C1(CCC[25*])CC1;[18*]C1(CC[24*])CC1;[18*]C1(C[23*])CC1;[21*]CCC[25*];[8*]C1CC1CCCC1([18*])CC1;[8*]C1CC1CCC[21*];[8*]C1CC1CC[22*];[8*]C1CC1C[23*];[8*]C1CC1[24*];[8*]NC(=O)c1c[nH]c2ncc([21*])nc12;[8*]NC([12*])=O;[9*]C(=O)c1c[nH]c2ncc([21*])nc12,[21*]CCC[25*];[8*]NC([12*])=O,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,rejected_known_linker,19.0,25.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,thioether,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CC3)CSCC3CC32)C1,[10*]N[C@H]([29*])C(=O)N1CC[C@@H](C#N)C1;[10*]c1c[nH]c2ncc(C3([24*])CC3)nc12;[10*]c1c[nH]c2ncc([21*])nc12;[18*]C1(CSC[27*])CC1;[18*]C1(CS[26*])CC1;[18*]C1(C[25*])CC1;[21*]CSC[27*];[8*]C1CC1CSCC1([18*])CC1;[8*]C1CC1CSC[21*];[8*]C1CC1CS[24*];[8*]C1CC1C[25*];[8*]C1CC1[26*];[8*]NC(=O)c1c[nH]c2ncc([21*])nc12;[8*]NC([12*])=O;[9*]C(=O)c1c[nH]c2ncc([21*])nc12,[8*]NC([12*])=O,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,rejected_known_linker,19.0,25.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,aza,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CC3)CNCC3CC32)C1,[10*]N[C@H]([29*])C(=O)N1CC[C@@H](C#N)C1;[10*]c1c[nH]c2ncc(C3([24*])CC3)nc12;[10*]c1c[nH]c2ncc([21*])nc12;[18*]C1(CNC[27*])CC1;[18*]C1(CN[26*])CC1;[18*]C1(C[25*])CC1;[21*]CNC[27*];[8*]C1CC1CNCC1([18*])CC1;[8*]C1CC1CNC[21*];[8*]C1CC1CN[24*];[8*]C1CC1C[25*];[8*]C1CC1[26*];[8*]NC(=O)c1c[nH]c2ncc([21*])nc12;[8*]NC([12*])=O;[9*]C(=O)c1c[nH]c2ncc([21*])nc12,[8*]NC([12*])=O,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,rejected_known_linker,19.0,25.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,aza_oxa,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CCCC4CC42)CC3)C1,[10*]N[C@H]([27*])C(=O)N1CC[C@@H](C#N)C1;[10*]c1c[nH]c2ncc(C3([22*])CC3)nc12;[10*]c1c[nH]c2ncc([21*])nc12;[18*]C1(CCC[25*])CC1;[18*]C1(CC[24*])CC1;[18*]C1(C[23*])CC1;[21*]CCC[25*];[8*]C1CC1CCCC1([18*])CC1;[8*]C1CC1CCC[21*];[8*]C1CC1CC[22*];[8*]C1CC1C[23*];[8*]C1CC1[24*];[8*]NC(=O)c1c[nH]c2ncc([21*])nc12;[8*]NC([12*])=O;[9*]C(=O)c1c[nH]c2ncc([21*])nc12,[21*]CCC[25*];[8*]NC([12*])=O,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,rejected_known_linker,19.0,25.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,dioxa,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CCCC4CC42)CC3)C1,[10*]N[C@H]([27*])C(=O)N1CC[C@@H](C#N)C1;[10*]c1c[nH]c2ncc(C3([22*])CC3)nc12;[10*]c1c[nH]c2ncc([21*])nc12;[18*]C1(CCC[25*])CC1;[18*]C1(CC[24*])CC1;[18*]C1(C[23*])CC1;[21*]CCC[25*];[8*]C1CC1CCCC1([18*])CC1;[8*]C1CC1CCC[21*];[8*]C1CC1CC[22*];[8*]C1CC1C[23*];[8*]C1CC1[24*];[8*]NC(=O)c1c[nH]c2ncc([21*])nc12;[8*]NC([12*])=O;[9*]C(=O)c1c[nH]c2ncc([21*])nc12,[21*]CCC[25*];[8*]NC([12*])=O,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,rejected_known_linker,19.0,25.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,diaza,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CCCC4CC42)CC3)C1,[10*]N[C@H]([27*])C(=O)N1CC[C@@H](C#N)C1;[10*]c1c[nH]c2ncc(C3([22*])CC3)nc12;[10*]c1c[nH]c2ncc([21*])nc12;[18*]C1(CCC[25*])CC1;[18*]C1(CC[24*])CC1;[18*]C1(C[23*])CC1;[21*]CCC[25*];[8*]C1CC1CCCC1([18*])CC1;[8*]C1CC1CCC[21*];[8*]C1CC1CC[22*];[8*]C1CC1C[23*];[8*]C1CC1[24*];[8*]NC(=O)c1c[nH]c2ncc([21*])nc12;[8*]NC([12*])=O;[9*]C(=O)c1c[nH]c2ncc([21*])nc12,[21*]CCC[25*];[8*]NC([12*])=O,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,rejected_known_linker,19.0,25.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,oxa_thio,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CCCC4CC42)CC3)C1,[10*]N[C@H]([27*])C(=O)N1CC[C@@H](C#N)C1;[10*]c1c[nH]c2ncc(C3([22*])CC3)nc12;[10*]c1c[nH]c2ncc([21*])nc12;[18*]C1(CCC[25*])CC1;[18*]C1(CC[24*])CC1;[18*]C1(C[23*])CC1;[21*]CCC[25*];[8*]C1CC1CCCC1([18*])CC1;[8*]C1CC1CCC[21*];[8*]C1CC1CC[22*];[8*]C1CC1C[23*];[8*]C1CC1[24*];[8*]NC(=O)c1c[nH]c2ncc([21*])nc12;[8*]NC([12*])=O;[9*]C(=O)c1c[nH]c2ncc([21*])nc12,[21*]CCC[25*];[8*]NC([12*])=O,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,rejected_known_linker,19.0,25.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,oxa_aza,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CCCC4CC42)CC3)C1,[10*]N[C@H]([27*])C(=O)N1CC[C@@H](C#N)C1;[10*]c1c[nH]c2ncc(C3([22*])CC3)nc12;[10*]c1c[nH]c2ncc([21*])nc12;[18*]C1(CCC[25*])CC1;[18*]C1(CC[24*])CC1;[18*]C1(C[23*])CC1;[21*]CCC[25*];[8*]C1CC1CCCC1([18*])CC1;[8*]C1CC1CCC[21*];[8*]C1CC1CC[22*];[8*]C1CC1C[23*];[8*]C1CC1[24*];[8*]NC(=O)c1c[nH]c2ncc([21*])nc12;[8*]NC([12*])=O;[9*]C(=O)c1c[nH]c2ncc([21*])nc12,[21*]CCC[25*];[8*]NC([12*])=O,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,rejected_known_linker,19.0,25.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,alkyl,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CCCC4CC42)CC3)C1,[10*]N[C@H]([27*])C(=O)N1CC[C@@H](C#N)C1;[10*]c1c[nH]c2ncc(C3([22*])CC3)nc12;[10*]c1c[nH]c2ncc([21*])nc12;[18*]C1(CCC[25*])CC1;[18*]C1(CC[24*])CC1;[18*]C1(C[23*])CC1;[21*]CCC[25*];[8*]C1CC1CCCC1([18*])CC1;[8*]C1CC1CCC[21*];[8*]C1CC1CC[22*];[8*]C1CC1C[23*];[8*]C1CC1[24*];[8*]NC(=O)c1c[nH]c2ncc([21*])nc12;[8*]NC([12*])=O;[9*]C(=O)c1c[nH]c2ncc([21*])nc12,[21*]CCC[25*];[8*]NC([12*])=O,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,rejected_known_linker,19.0,25.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,oxa,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CC3)COCC3CC32)C1,[10*]N[C@H]([29*])C(=O)N1CC[C@@H](C#N)C1;[10*]c1c[nH]c2ncc(C3([24*])CC3)nc12;[10*]c1c[nH]c2ncc([21*])nc12;[18*]C1(COC[27*])CC1;[18*]C1(CO[26*])CC1;[18*]C1(C[25*])CC1;[21*]COC[27*];[8*]C1CC1COCC1([18*])CC1;[8*]C1CC1COC[21*];[8*]C1CC1CO[24*];[8*]C1CC1C[25*];[8*]C1CC1[26*];[8*]NC(=O)c1c[nH]c2ncc([21*])nc12;[8*]NC([12*])=O;[9*]C(=O)c1c[nH]c2ncc([21*])nc12,[8*]NC([12*])=O,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,rejected_known_linker,19.0,25.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,aza_thio,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CCCC4CC42)CC3)C1,[10*]N[C@H]([27*])C(=O)N1CC[C@@H](C#N)C1;[10*]c1c[nH]c2ncc(C3([22*])CC3)nc12;[10*]c1c[nH]c2ncc([21*])nc12;[18*]C1(CCC[25*])CC1;[18*]C1(CC[24*])CC1;[18*]C1(C[23*])CC1;[21*]CCC[25*];[8*]C1CC1CCCC1([18*])CC1;[8*]C1CC1CCC[21*];[8*]C1CC1CC[22*];[8*]C1CC1C[23*];[8*]C1CC1[24*];[8*]NC(=O)c1c[nH]c2ncc([21*])nc12;[8*]NC([12*])=O;[9*]C(=O)c1c[nH]c2ncc([21*])nc12,[21*]CCC[25*];[8*]NC([12*])=O,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,rejected_known_linker,19.0,26.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,oxa_aza,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CCCC4CC42)CC3)C1,[10*]N[C@H]([27*])C(=O)N1CC[C@@H](C#N)C1;[10*]c1c[nH]c2ncc(C3([22*])CC3)nc12;[10*]c1c[nH]c2ncc([21*])nc12;[18*]C1(CCC[25*])CC1;[18*]C1(CC[24*])CC1;[18*]C1(C[23*])CC1;[21*]CCC[25*];[8*]C1CC1CCCC1([18*])CC1;[8*]C1CC1CCC[21*];[8*]C1CC1CC[22*];[8*]C1CC1C[23*];[8*]C1CC1[24*];[8*]NC(=O)c1c[nH]c2ncc([21*])nc12;[8*]NC([12*])=O;[9*]C(=O)c1c[nH]c2ncc([21*])nc12,[21*]CCC[25*];[8*]NC([12*])=O,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,rejected_known_linker,19.0,26.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,thioether,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CC3)CSCC3CC32)C1,[10*]N[C@H]([29*])C(=O)N1CC[C@@H](C#N)C1;[10*]c1c[nH]c2ncc(C3([24*])CC3)nc12;[10*]c1c[nH]c2ncc([21*])nc12;[18*]C1(CSC[27*])CC1;[18*]C1(CS[26*])CC1;[18*]C1(C[25*])CC1;[21*]CSC[27*];[8*]C1CC1CSCC1([18*])CC1;[8*]C1CC1CSC[21*];[8*]C1CC1CS[24*];[8*]C1CC1C[25*];[8*]C1CC1[26*];[8*]NC(=O)c1c[nH]c2ncc([21*])nc12;[8*]NC([12*])=O;[9*]C(=O)c1c[nH]c2ncc([21*])nc12,[8*]NC([12*])=O,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,rejected_known_linker,19.0,26.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,aza,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CC3)CNCC3CC32)C1,[10*]N[C@H]([29*])C(=O)N1CC[C@@H](C#N)C1;[10*]c1c[nH]c2ncc(C3([24*])CC3)nc12;[10*]c1c[nH]c2ncc([21*])nc12;[18*]C1(CNC[27*])CC1;[18*]C1(CN[26*])CC1;[18*]C1(C[25*])CC1;[21*]CNC[27*];[8*]C1CC1CNCC1([18*])CC1;[8*]C1CC1CNC[21*];[8*]C1CC1CN[24*];[8*]C1CC1C[25*];[8*]C1CC1[26*];[8*]NC(=O)c1c[nH]c2ncc([21*])nc12;[8*]NC([12*])=O;[9*]C(=O)c1c[nH]c2ncc([21*])nc12,[8*]NC([12*])=O,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,rejected_known_linker,19.0,26.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,aza_thio,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CCCC4CC42)CC3)C1,[10*]N[C@H]([27*])C(=O)N1CC[C@@H](C#N)C1;[10*]c1c[nH]c2ncc(C3([22*])CC3)nc12;[10*]c1c[nH]c2ncc([21*])nc12;[18*]C1(CCC[25*])CC1;[18*]C1(CC[24*])CC1;[18*]C1(C[23*])CC1;[21*]CCC[25*];[8*]C1CC1CCCC1([18*])CC1;[8*]C1CC1CCC[21*];[8*]C1CC1CC[22*];[8*]C1CC1C[23*];[8*]C1CC1[24*];[8*]NC(=O)c1c[nH]c2ncc([21*])nc12;[8*]NC([12*])=O;[9*]C(=O)c1c[nH]c2ncc([21*])nc12,[21*]CCC[25*];[8*]NC([12*])=O,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,rejected_known_linker,19.0,26.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,dioxa,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CCCC4CC42)CC3)C1,[10*]N[C@H]([27*])C(=O)N1CC[C@@H](C#N)C1;[10*]c1c[nH]c2ncc(C3([22*])CC3)nc12;[10*]c1c[nH]c2ncc([21*])nc12;[18*]C1(CCC[25*])CC1;[18*]C1(CC[24*])CC1;[18*]C1(C[23*])CC1;[21*]CCC[25*];[8*]C1CC1CCCC1([18*])CC1;[8*]C1CC1CCC[21*];[8*]C1CC1CC[22*];[8*]C1CC1C[23*];[8*]C1CC1[24*];[8*]NC(=O)c1c[nH]c2ncc([21*])nc12;[8*]NC([12*])=O;[9*]C(=O)c1c[nH]c2ncc([21*])nc12,[21*]CCC[25*];[8*]NC([12*])=O,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,rejected_known_linker,19.0,26.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,oxa,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CC3)COCC3CC32)C1,[10*]N[C@H]([29*])C(=O)N1CC[C@@H](C#N)C1;[10*]c1c[nH]c2ncc(C3([24*])CC3)nc12;[10*]c1c[nH]c2ncc([21*])nc12;[18*]C1(COC[27*])CC1;[18*]C1(CO[26*])CC1;[18*]C1(C[25*])CC1;[21*]COC[27*];[8*]C1CC1COCC1([18*])CC1;[8*]C1CC1COC[21*];[8*]C1CC1CO[24*];[8*]C1CC1C[25*];[8*]C1CC1[26*];[8*]NC(=O)c1c[nH]c2ncc([21*])nc12;[8*]NC([12*])=O;[9*]C(=O)c1c[nH]c2ncc([21*])nc12,[8*]NC([12*])=O,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,rejected_known_linker,19.0,26.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,dithio,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CCCC4CC42)CC3)C1,[10*]N[C@H]([27*])C(=O)N1CC[C@@H](C#N)C1;[10*]c1c[nH]c2ncc(C3([22*])CC3)nc12;[10*]c1c[nH]c2ncc([21*])nc12;[18*]C1(CCC[25*])CC1;[18*]C1(CC[24*])CC1;[18*]C1(C[23*])CC1;[21*]CCC[25*];[8*]C1CC1CCCC1([18*])CC1;[8*]C1CC1CCC[21*];[8*]C1CC1CC[22*];[8*]C1CC1C[23*];[8*]C1CC1[24*];[8*]NC(=O)c1c[nH]c2ncc([21*])nc12;[8*]NC([12*])=O;[9*]C(=O)c1c[nH]c2ncc([21*])nc12,[21*]CCC[25*];[8*]NC([12*])=O,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,rejected_known_linker,19.0,26.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,aza_oxa,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CCCC4CC42)CC3)C1,[10*]N[C@H]([27*])C(=O)N1CC[C@@H](C#N)C1;[10*]c1c[nH]c2ncc(C3([22*])CC3)nc12;[10*]c1c[nH]c2ncc([21*])nc12;[18*]C1(CCC[25*])CC1;[18*]C1(CC[24*])CC1;[18*]C1(C[23*])CC1;[21*]CCC[25*];[8*]C1CC1CCCC1([18*])CC1;[8*]C1CC1CCC[21*];[8*]C1CC1CC[22*];[8*]C1CC1C[23*];[8*]C1CC1[24*];[8*]NC(=O)c1c[nH]c2ncc([21*])nc12;[8*]NC([12*])=O;[9*]C(=O)c1c[nH]c2ncc([21*])nc12,[21*]CCC[25*];[8*]NC([12*])=O,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,rejected_known_linker,19.0,26.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,alkyl,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CCCC4CC42)CC3)C1,[10*]N[C@H]([27*])C(=O)N1CC[C@@H](C#N)C1;[10*]c1c[nH]c2ncc(C3([22*])CC3)nc12;[10*]c1c[nH]c2ncc([21*])nc12;[18*]C1(CCC[25*])CC1;[18*]C1(CC[24*])CC1;[18*]C1(C[23*])CC1;[21*]CCC[25*];[8*]C1CC1CCCC1([18*])CC1;[8*]C1CC1CCC[21*];[8*]C1CC1CC[22*];[8*]C1CC1C[23*];[8*]C1CC1[24*];[8*]NC(=O)c1c[nH]c2ncc([21*])nc12;[8*]NC([12*])=O;[9*]C(=O)c1c[nH]c2ncc([21*])nc12,[21*]CCC[25*];[8*]NC([12*])=O,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,rejected_known_linker,19.0,26.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,diaza,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CCCC4CC42)CC3)C1,[10*]N[C@H]([27*])C(=O)N1CC[C@@H](C#N)C1;[10*]c1c[nH]c2ncc(C3([22*])CC3)nc12;[10*]c1c[nH]c2ncc([21*])nc12;[18*]C1(CCC[25*])CC1;[18*]C1(CC[24*])CC1;[18*]C1(C[23*])CC1;[21*]CCC[25*];[8*]C1CC1CCCC1([18*])CC1;[8*]C1CC1CCC[21*];[8*]C1CC1CC[22*];[8*]C1CC1C[23*];[8*]C1CC1[24*];[8*]NC(=O)c1c[nH]c2ncc([21*])nc12;[8*]NC([12*])=O;[9*]C(=O)c1c[nH]c2ncc([21*])nc12,[21*]CCC[25*];[8*]NC([12*])=O,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,rejected_known_linker,19.0,26.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,oxa_thio,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CCCC4CC42)CC3)C1,[10*]N[C@H]([27*])C(=O)N1CC[C@@H](C#N)C1;[10*]c1c[nH]c2ncc(C3([22*])CC3)nc12;[10*]c1c[nH]c2ncc([21*])nc12;[18*]C1(CCC[25*])CC1;[18*]C1(CC[24*])CC1;[18*]C1(C[23*])CC1;[21*]CCC[25*];[8*]C1CC1CCCC1([18*])CC1;[8*]C1CC1CCC[21*];[8*]C1CC1CC[22*];[8*]C1CC1C[23*];[8*]C1CC1[24*];[8*]NC(=O)c1c[nH]c2ncc([21*])nc12;[8*]NC([12*])=O;[9*]C(=O)c1c[nH]c2ncc([21*])nc12,[21*]CCC[25*];[8*]NC([12*])=O,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,rejected_known_linker,24.0,20.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,dioxa,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3CCCC23CC3)C1,[10*]N[C@H]([27*])C(=O)N1CC[C@@H](C#N)C1;[10*]c1c[nH]c2ncc(C3CC3[24*])nc12;[10*]c1c[nH]c2ncc([21*])nc12;[18*]C1CC1CCC[27*];[18*]C1CC1CC[26*];[18*]C1CC1C[25*];[18*]C1CC1[24*];[23*]CCC[27*];[8*]C1(CCCC2CC2[18*])CC1;[8*]C1(CCC[23*])CC1;[8*]C1(CC[24*])CC1;[8*]C1(C[25*])CC1;[8*]NC(=O)c1c[nH]c2ncc([21*])nc12;[8*]NC([12*])=O;[9*]C(=O)c1c[nH]c2ncc([21*])nc12,[23*]CCC[27*];[8*]NC([12*])=O,,
