mol_id,smiles,num_atoms,split
JAK2_ddf177d193,Oc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)cc1F,25,train
JAK2_0a1653190d,O=c1[nH]ccc2c(Nc3c(Cl)cc(F)cc3Cl)nc3ccncc3c12,25,train
JAK2_0363b39a60,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,23,train
JAK2_ae95950785,CN1C/C=C/CCOc2cc(F)cc(c2)-c2ccnc(n2)Nc2cccc(c2)C1,29,train
JAK2_4f6fafc041,N#CCNCc1cccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,30,train
JAK2_c4daf046a9,COc1cccc(N(C(=O)CCl)C(C(=O)NCCc2ccccc2)c2cccs2)c1,30,train
JAK2_8b3014135f,O=c1[nH]ccc2c3[nH]c(-c4ccccc4Cl)nc3c3ccc(F)cc3c12,26,train
JAK2_756371ea71,CCN(CC)CCC(=O)Nc1cc2cc(c1)Nc1nccc(n1)-c1cccc(c1)COCC=CCOC2,37,train
JAK2_8945d571c7,Cn1cc(NC(=O)c2cnn3cccnc23)c(-c2cc(Cl)ccc2Cl)n1,26,train
JAK2_bc6702e419,Oc1ccccc1OCCOc1ccccc1OCCOc1ccccc1O,28,train
JAK2_b9143a07c2,Cc1cccc(Nc2sc(-c3ccccc3)cc2C(N)=O)n1,22,train
JAK2_364f20ca75,COc1ccccc1-c1ccc2cnc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nn12,32,train
JAK2_b8daa3eb9c,CC1(C)[C@H](Nc2c(C(N)=O)cnn3cccc23)CC[C@]1(C)O,22,train
JAK2_2d0f835aa0,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,35,train
JAK2_38c30605e5,NC(=O)C1CCN(c2cc(-c3c(N)nn4cccnc34)ncn2)CC1,25,train
JAK2_eeec6fe338,CNC(=O)c1ccc(Nc2nccc(-c3cnc(C)n3C(C)C)n2)cc1F,27,train
JAK2_1afb564680,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,29,train
JAK2_36d4ea3267,CN1CCN(C[C@@H](NC(=O)C[C@H]2CNC(=O)c3cc(-c4cccc(Cl)c4)cn32)C2CCCCC2)CC1,36,train
JAK2_7f60871f3d,Cc1cc(NC(=O)c2cnn3ccc(N)nc23)n(-c2cccc(Cl)c2)n1,26,train
JAK2_0cfea2ed0f,CCN1CCC[C@@H]1C(=O)Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,35,train
JAK2_19546a8603,NC(=O)c1cnc(NC2CCC2)c2c1[nH]c1ccc(F)cc12,22,train
JAK2_f2b3ea21e5,CCc1ccc(Cl)cc1-c1[nH]c(-c2ccnc(N)n2)cc1C(N)=O,24,train
JAK2_a1446e7a88,Cc1cccc(Nc2sc(-c3cccc(C(F)(F)F)c3)cc2C(N)=O)n1,26,train
JAK2_58c426eb98,CN(C)C(=O)c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc12,27,train
JAK2_e67c843919,COc1cc(-c2cnc3cccc(-c4ccc(CN5CCOCC5)c(F)c4)c3n2)cc(OC)c1OC,36,train
JAK2_54bc2cde0b,CCCN(CC)C(=O)C1CCN(c2cc(-c3c(N)nn4cccnc34)ncn2)C1,29,train
JAK2_3e73acf8f9,Cc1cc(-c2ccc(S(=O)(=O)NC(C)(C)C)cc2)cc2c(N)n[nH]c12,25,train
JAK2_1bae26071f,Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)cnc2C)n[nH]1,24,train
JAK2_43e3933bb0,Oc1ccc(/C=N/N2CCN(C3c4ccccc4-c4ccccc43)CC2)cc1O,29,train
JAK2_81f4cf91ce,Nc1ccn2ncc(C(=O)Nc3c[nH]nc3-c3cccc(Cl)c3)c2n1,25,train
JAK2_835443b633,Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)cc(N3CCOCC3)n2)n[nH]1,29,train
JAK2_cc50037476,Cc1ccc(Cl)cc1-c1c(C(N)=O)cc(-c2ccnc(N)n2)n1C,24,train
JAK2_74ba919b0d,Cn1cc(-c2ccc3[nH]c4c(C(N)=O)cnc(NC5CCCCC5)c4c3c2)cn1,29,train
JAK2_09edf70d78,CN1CCN(c2ccc(Nc3nc4c(-c5ccc(S(C)(=O)=O)cc5)cccn4n3)cc2)CC1,33,train
JAK2_80be2c2b1c,CS(=O)(=O)Nc1ccc(-c2ccnc(Nc3cccc(CN4CCC(O)CC4)c3)n2)cc1,32,train
JAK2_530b044866,CSc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(C)ns2)n1,23,train
JAK2_85fd848de0,CN1CCN(c2cccc(Nc3nc4c(-c5ccc(F)cc5)cccn4n3)c2)CC1,30,train
JAK2_0009cd3e47,COc1cc(-c2cnc3cccc(-c4ccc(CC(=O)N5CCOCC5)cc4)c3n2)cc(OC)c1OC,37,train
JAK2_a35ca9dec6,Cn1cc(-c2ccc3c(c2)[nH]c2c(C(N)=O)cnc(N[C@H](C4CCC4)C(F)(F)F)c23)cn1,32,train
JAK2_a77381c7fa,CC(C)[C@@H](Nc1cc(-c2c(N)nn3cccnc23)ncn1)c1ccc(F)cc1,28,train
JAK2_e36d161f74,CC(C)(C)/C(O)=C/c1nc2cc(Cl)ccc2oc1=O,19,train
JAK2_045f56a0d8,Cc1ccccc1-c1[nH]c(-c2ccnc(N)n2)cc1C(N)=O,22,train
JAK2_2e18080ebc,NC(=O)c1ccc(NC2CCCCC2)c2c1[nH]c1cc(-c3cn[nH]c3)ccc12,28,train
JAK2_2d7f8229b0,C1=CCOc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC1,26,train
JAK2_1a53985c87,CC(C)(C)[C@@H](NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(=O)N1CC(C#N)C1,28,train
JAK2_09aa9d2602,O=C(Nc1ccncc1-c1cccc(Cl)c1)c1cnn2cccnc12,25,train
JAK2_48bd1ba00c,CN1C/C=C/COCc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)C1,28,train
JAK2_d2383e7b94,O=C(Nc1cccc(NC(=O)c2cccs2)c1)c1ccc([N+](=O)[O-])o1,25,train
JAK2_1bffeba5d4,Cn1cc(C2=C(Nc3cccc(OCCNc4ccnc(F)c4)c3)C(=O)NC2=O)c2ccccc21,35,train
JAK2_6893d6e910,COc1ccc2c(-c3cnc4[nH]cc(C(=O)N[C@H](C)C(=O)N5CC(C#N)C5)c4n3)nn(C)c2c1,34,train
JAK2_13ea9ede8c,CC(C)(C)NS(=O)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1,24,train
JAK2_5398c0fb90,Nc1n[nH]c2ccc(-c3ccncc3)cc12,16,train
JAK2_e239028038,O=c1[nH]ccc2c1c1cc(F)ccc1n2-c1ccccc1,21,train
JAK2_9ca9771eb4,C[C@H](Nc1nc(-n2cnc3ccncc32)nc2c1cc(C(=O)NS(C)(=O)=O)n2C)c1ccccc1,35,train
JAK2_6e51f2408c,Nc1ncc(C(=O)NCc2ccccc2)c2sc(-c3ccc(N4CCOCC4)cc3)cc12,32,train
JAK2_def8ecbfaa,CC1(C)CCC[C@H]1Nc1c(C(N)=O)cnn2cccc12,20,train
JAK2_0081f277ed,Cc1nc(O)c(C(=O)/C=C/c2ccccc2F)c2c1CCCC2,23,train
JAK2_3ef5e26b1b,C[C@H](Nc1cc(N2CCN(C)CC2)nc(-n2cnc3ccncc32)n1)c1ccccc1,31,train
JAK2_554d4dcabe,C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(OCc3ccccn3)c(Cl)c2)n1,34,train
JAK2_5e0d0678dd,CN1CCN(c2ccc3cc2COCC=CCOCc2cccc(c2)-c2ccnc(n2)N3)CC1,34,train
JAK2_4811c772c8,CN1CCN(c2ccc(Nc3nc4cccc(-c5ccc(S(C)(=O)=O)cc5)n4n3)cc2)CC1,33,train
JAK2_69019d0e87,O=c1[nH]ccc2c3[nH]c(-c4c(F)cccc4Cl)nc3c3ccc(F)cc3c12,27,train
JAK2_32235f59d7,CC(C)Oc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cc3)c(C#N)cc2F)n[nH]1,29,train
JAK2_3bf22d85ab,CNC(=O)c1cnc(N)c2cc(-c3ccc(C)cc3)sc12,21,train
JAK2_0e403bb8eb,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc([C@@H](C)N3C[C@@H](C)O[C@@H](C)C3)ns2)n1,31,train
JAK2_8085aa66d8,O=c1[nH]c2cnc(-n3cnc4ccc(Cl)cc43)nc2n1[C@@H]1CCOc2c(F)cccc21,31,train
JAK2_64fd5f45df,O=c1[nH]nc2cc(CO)c3ccc(-c4ccc[nH]4)cc3n12,21,train
JAK2_740dfa4307,Cc1cnc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)nc(N3CCOCC3)c2F)s1,30,train
JAK2_f8c51b4e32,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,39,train
JAK2_705f4d3109,CCN(Cc1ccccc1)c1cc(-c2c(N)nn3cccnc23)ncn1,26,train
JAK2_53772733cc,CC(C)n1cnc(Nc2nc(N3CCN(C(=O)Cc4ccccc4)CC3)nn3cccc23)c1,33,train
JAK2_1b4ffa7121,C1=C/CN(CC2CC2)Cc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC/1,31,train
JAK2_a4a67430fd,Cc1ccc(Cl)cc1-c1[nH]c(-c2ccnc(Nc3ccc(N4CCN(C)CC4)cc3)n2)cc1C(N)=O,36,train
JAK2_b9ef0dccdb,CN(C)CCN(C)c1ccc2cc1COCC=CCOCc1cccc(c1)-c1ccnc(n1)N2,34,train
JAK2_08437571d3,CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2ccc(Cl)c(c2)C1,29,train
JAK2_217581626e,CC(NC(=O)c1c[nH]c2ncc(Oc3ccccc3)nc12)C1CC1,24,train
JAK2_e9c7a5b465,c1ccc(-c2c(-c3ccc(OCCN4CCCC4)cc3)oc3ncnc(NCCN4CCNCC4)c23)cc1,38,train
JAK2_71edeb4185,COCCOc1ccc2cc1CN(C)C/C=C/COCc1ccc(s1)-c1ccnc(n1)N2,32,train
JAK2_03d1a9b8de,Cn1cc2c(Nc3nc(N[C@@H]4CCOC[C@@H]4N)cc4cc[nH]c(=O)c34)cccc2n1,30,train
JAK2_0be2eaa185,NC(=O)CN1CCC(c2ccc(Nc3ncc4ccc(-c5cccc(CO)c5)n4n3)cc2)CC1,34,train
JAK2_3f16324207,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1ccccc1OCCn1ccnc1,31,train
JAK2_7ca62fbe94,NC(=O)c1cnc(NC2CCCCC2)c2c1[nH]c1cc(-c3ccn[nH]3)ccc12,28,train
JAK2_10b80be790,C[C@@H](Nc1cc(-c2c(N)nn3cccnc23)ncn1)c1ccccc1,25,train
JAK2_ca39d80886,Cc1cc(NC(=O)c2cnn3cccnc23)n(-c2cccc(Cl)c2)n1,25,train
JAK2_de6f2c0053,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1cccc(OC2CCN(c3ccnc(F)c3)C2)c1,36,train
JAK2_b9e55f321a,N#Cc1ccc2ncn(-c3ncc4[nH]c(=O)n(Cc5cccc(F)c5F)c4n3)c2c1,30,train
JAK2_a02e005f3d,c1cc(-c2ccc3[nH]ccc3c2)nc(Nc2ccc(N3CCOCC3)cc2)n1,28,train
JAK2_293336b5e7,Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)c(C#N)nc2C)n[nH]1,26,train
JAK2_21004599ab,CC(C)[C@@H](Nc1nc2cc[nH]c(=O)c2c2cc(F)ccc12)C(F)(F)F,25,train
JAK2_d6f0557177,COc1ccc2c(Oc3ccc(NC(=O)c4c(C)n(CC(C)(C)O)n(-c5ccccc5)c4=O)nc3)ccnc2c1,40,train
JAK2_b5896fea79,O=c1[nH]ccc2c(Nc3c(Cl)cc(-c4ccn[nH]4)cc3Cl)nc3ccncc3c12,29,train
JAK2_05f74b5037,O=C(/C(=N/N=C/c1ccc(O)c(O)c1)c1ccccc1)c1ccccc1,26,train
JAK2_d0c920f8f8,NCCn1cc(-c2cc(-c3cc4ccccc4s3)c3[nH]ncc3c2)c2nc(N)ncc21,31,train
JAK2_74828577f1,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)cc1,32,train
JAK2_1ba3bb3de3,CC[C@@H](NC(=O)c1c[nH]c2ncc(-c3nn(C)c4cc(Cl)ccc34)nc12)C(=O)N1CC(C#N)C1,34,train
JAK2_7129b581e3,O=S(=O)(c1cnc(Cl)c(Br)c1)N1CCc2ccccc21,20,train
JAK2_62383467ec,CS(=O)(=O)c1ccc(-c2cccn3nc(N)nc23)cc1,20,train
JAK2_c5435d61dd,NC(=O)CN1CCC(c2ccc(Nc3ncc4ccc(-c5cnccn5)n4n3)cc2)CC1,32,train
JAK2_bdd65b23cd,CC1(c2cc(Nc3nc(N4CCN(C(=O)Cc5ccccc5)CC4)nn4cccc34)n[nH]2)CC1,34,train
JAK2_68a5f26e29,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)c1nnc(S(=O)(=O)Cc2cccc(F)c2)o1,32,train
JAK2_b64ffa805a,Cn1cc(NC(=O)c2cnn3cccnc23)c(-c2cccc(Cl)c2)n1,25,train
JAK2_0a1f55b83a,c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,25,train
JAK2_208a9ca923,Cc1oc2c(O)c(O)ccc2c(=O)c1-c1cnn(-c2ccccc2)c1,25,train
JAK2_321a0f12a6,C[C@H](Nc1nc(-n2cnc3ccncc32)nc2c1cc(C(=O)N1CCOCC1)n2C)c1ccccc1,36,train
JAK2_bc0710184a,CC(C)C(Nc1ncc(C(N)=O)c2[nH]c3cc(-c4cnn(C)c4)ccc3c12)C1CC1,30,train
JAK2_e2afa78ffd,C[C@@H](NC(=O)c1c[nH]c2ncc(-c3nn(C)c4cc(C#N)ccc34)nc12)C(=O)N1CC(C#N)C1,34,train
JAK2_52e2aaf803,Nc1nn2cccnc2c1-c1cc(N[C@@H]2CCc3ccccc32)ncn1,26,train
JAK2_9744adf6ff,c1cc2c(ncc3nnc(C4CCCCC4)n32)[nH]1,18,train
JAK2_2d99fb5dc8,COc1cnc(Nc2ccc(N3CCOCC3)cc2)nc1-c1ccc(C(=O)NCC#N)cc1,33,train
JAK2_e8465d9792,O=c1[nH]ccc2c(Nc3c(Cl)cncc3Cl)nc3ccncc3c12,24,train
JAK2_383c6d94d7,COc1cc(Nc2nc3cccc(-c4cccc(Cl)c4)c3o2)cc(OC)c1OC,29,train
JAK2_c57d118ac8,Cc1cc(Nc2cnc(C#N)c(N[C@@H](C)c3ccc(F)cn3)n2)n[nH]1,25,train
JAK2_7bb684659d,NS(=O)(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,29,train
JAK2_2c78302646,NC(=O)c1cnc(NC2CCCCCC2)c2c1[nH]c1ccc(F)cc12,25,train
JAK2_1462d0e6eb,CNc1ncnc(-c2cccnc2Oc2cc(NC(=O)c3cccc(OC(F)(F)C(F)F)c3)ccc2C)n1,38,train
JAK2_37af99755c,O=c1[nH]ccc2nc(Nc3cccc(F)c3)c3ccc(F)cc3c12,24,train
JAK2_fd4db09bf8,COc1cc2ncnc(Nc3ccc(O)cc3)c2cc1OC,22,train
JAK2_f21434d369,O=C1C=C(Nc2cccc(OCCNc3ccnc(F)c3)c2)C(=O)N1,25,train
JAK2_23b1e4cf36,Cc1cc(Nc2nc(O[C@H](C)c3ccc(F)cn3)c(C#N)nc2C)n[nH]1,26,train
JAK2_4b77f09040,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1ccc(OCCn2ccnc2)cc1,31,train
JAK2_86f77269d9,C[C@@H](NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(=O)N1CCC1,23,train
JAK2_9e9e65d6c2,CS(=O)(=O)O.O=C(NCc1cccc(O)c1)Nc1nc(-c2ccncc2)cs1,28,train
JAK2_c081816cf4,C[C@@H](NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(=O)N(C)C,22,train
JAK2_094eeb5506,O=S(=O)(c1cnc(Cl)c(Cl)c1)N1CCc2ccccc21,20,train
JAK2_f5336c0fa9,C1=CCOCc2cc(ccc2N2CCOCC2)Nc2nccc(n2)-c2cccc(c2)COC1,33,train
JAK2_52b2cf11d9,CN1CCN(c2ccc(-c3cnc4cccc(-c5cc(F)c(CN6CCS(=O)(=O)CC6)c(F)c5)c4n3)cn2)CC1,40,train
JAK2_3cfef51f91,CC1(C)[C@@H](N)CC[C@H]1Nc1c(C(N)=O)cnn2cccc12,21,train
JAK2_33518fcb72,C[C@H](O)CN1CCC(c2ccc(Nc3ncc4ccc(-c5ccccc5N(C)S(C)(=O)=O)n4n3)cc2)CC1,38,train
JAK2_29bddf2015,CCCn1c(CN(C)Cc2ccccc2)nc2c1c(=O)n(C)c(=O)n2C,26,train
JAK2_6cc1e32c2e,CCOC(=O)c1cccc(Nc2nc(N)n(C(=O)c3ccccc3F)n2)c1,27,train
JAK2_b7b977e332,COc1cc2ncc(N[C@H]3CC[C@H](O)CC3)nc2cc1OC,22,train
JAK2_b97262126f,CCCN(CC)C(=O)C1CCCN(c2cc(-c3c(N)nn4cccnc34)ncn2)C1,30,train
JAK2_7749fd2b4f,Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)c(F)c(N3CCOCC3)n2)n[nH]1,30,train
JAK2_31b4961f61,Cc1ccc(Cl)cc1-c1nn(C)cc1NC(=O)c1cnn2ccc(N)nc12,27,train
JAK2_dea7048134,C[C@H](Nc1cc(-c2cnn(C)c2)nc(-n2cnc3ccncc32)n1)c1ccccc1,30,train
JAK2_70edd2cf07,Cn1nc(-c2cnc3[nH]cc(C(=O)N[C@@H](C(=O)N4CC(C#N)C4)C4CC4)c3n2)c2ccc(Cl)cc21,35,train
JAK2_95d4098df3,O=CO.c1ccc2c(c1)CSc1sccc1C2=C1CCNCC1,23,train
JAK2_1f9173a0e5,CC(=O)Nc1ccc(-c2ccnc(Nc3ccccc3)n2)cc1,23,train
JAK2_4b47cf7d5d,COc1ccc(-c2cccn3nc(N)nc23)cn1,18,train
JAK2_64908a7579,CCS(=O)(=O)c1ccc2cc1CN(C)C/C=C/CCOc1cccc(c1)-c1ccnc(n1)N2,33,train
JAK2_aa0200c611,CNc1ccn(-c2ccccc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc3cc(OC)c(OC)cc23)cn1,39,train
JAK2_f17eb9053f,COc1cc(Nc2nc3cccc(-c4ccc(CN5CCOCC5)cc4)c3o2)cc(OC)c1OC,35,train
JAK2_e984d68b65,CCc1ccc(C(F)(F)F)cc1-c1[nH]c(-c2ccnc(N)n2)cc1C(N)=O,27,train
JAK2_90220289eb,Nc1nn2cccnc2c1-c1cc(N2CCOCC2)ncn1,22,train
JAK2_259a9f277d,Cc1cc(Nc2nc(N3CCN(C(=O)N(C)C)CC3)nn3cccc23)n[nH]1,27,train
JAK2_e657a98017,O=C(CCl)NCc1cc(-c2ccc(Cl)cc2)no1,18,train
JAK2_975f88f891,O=C(CCl)N(C/C=C/c1ccccc1)c1ccc2c(c1)OCCO2,24,train
JAK2_bcb1599df7,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,19,train
JAK2_5d9eb4f9ea,CN1CCN(c2cc(Oc3c(F)cccc3F)nc(-n3cnc4ccncc43)n2)CC1,31,train
JAK2_de12304eb6,O=c1[nH]c2cnc(-n3cnc4ccc(F)cc43)nc2n1Cc1c(F)cccc1F,29,train
JAK2_58babf3cf4,CC(=O)N[C@@H]1CCc2ccc(Oc3cnc4[nH]cc(C(=O)N[C@@H](C(=O)N5CC(C#N)C5)C5CC5)c4n3)cc21,38,train
JAK2_e4d13b4bbb,NC(=O)c1cc(-c2ccccc2F)sc1Nc1cccc(CN2CCOCC2)n1,29,train
JAK2_809c0ece50,O=c1[nH]ccc2c(Nc3c(Cl)cc(C(F)(F)F)cc3Cl)nc3ccncc3c12,28,train
JAK2_70fe545409,COc1ccc(COc2ccc(Cc3cnc(N)nc3N)cc2OC)cc1,27,train
JAK2_763cf817fa,CC(Nc1nc(Nc2cn(C)cn2)c2[nH]ccc2n1)c1ncc(F)cn1,26,train
JAK2_471915c039,O=c1[nH]ccc2c(Nc3c(F)cc(F)cc3Cl)nc3ccncc3c12,25,train
JAK2_87f82fe33f,CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2cc(cc(NC(=O)C(F)(F)F)c2)C1,35,train
JAK2_16664f4335,ClCCOc1ccc2cc1COCC=CCOCc1cccc(c1)-c1ccnc(n1)N2,31,train
JAK2_01d8a80836,C1=C/Cn2ccc3ccc(cc32)-c2ccnc(n2)Nc2ccc(OCCN3CCCC3)c(c2)COC/1,36,train
JAK2_427939efd5,NC(=O)c1cc(-c2ccccc2)sc1Nc1ccc(F)cn1,22,train
JAK2_bb684b6aa3,CC(NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C1CC1,20,train
JAK2_9ff6ebb055,Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cc3)c(C#N)cc2F)n[nH]1,26,train
JAK2_f7d9533ff3,C[C@H](Nc1nc(Nc2cn(C)cn2)c2ccn(C)c2n1)c1ncc(F)cn1,27,train
JAK2_fbbcd63fe7,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)c(F)c3)n2)cc1,32,train
JAK2_88aea7d062,Cc1cc(-c2cnc3cccc(-c4ccc(CN5CCOCC5)c(F)c4)c3n2)ccc1C(=O)N1CCOCC1,39,train
JAK2_14588c086c,CN1CCN(c2ccc(Nc3ncc4ccc(-c5cccc(S(=O)(=O)NC(C)(C)C)c5)n4n3)cc2Cl)CC1,38,train
JAK2_4d4ffae9ce,CC(=O)N[C@@H]1CCc2ccc(Oc3cnc4[nH]cc(C(=O)N[C@H](C)C5CC5)c4n3)cc21,31,train
JAK2_35d5ec9f03,Cc1cc(Nc2cnc(C#N)c(NC(C)c3ccc(F)cn3)n2)n[nH]1,25,train
JAK2_2001e52f1c,Cn1cc(NC(=O)c2cnn3ccc(N)nc23)c(-c2cccc(Cl)c2)n1,26,train
JAK2_e36804ea19,Cc1nc(-c2cccc(Cl)c2)c(NC(=O)c2cnn3ccc(N)nc23)s1,26,train
JAK2_5c2f9b1689,Cc1cc(Cl)c2c(n1)N(CCc1ccccc1)CCc1c-2[nH]c2ccccc12,28,train
JAK2_9befca631f,CC(C)[C@@H](Nc1nc2cc[nH]c(=O)c2c2cnccc12)C(F)(F)F,24,train
JAK2_9ed0e79538,C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cncc(c2)COC/1,35,train
