parent_mol_id,seed_smiles,atom_a,atom_b,anchor_score_a,anchor_score_b,path_bonds,linker_length,target_ring,chemotype,size_probability,chemotype_probability,linker_probability,policy_probability,reward_probability,status,generated_smiles,extracted_linker_smiles,candidate_id,inchikey,known_linker_smiles
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,5.0,0.035574,0.017479,7.0,5.0,12.0,oxa_thio,0.521147,0.050849,0.0265,0.0265,0.305569,valid_output,COc1ccc2cc1Nc1nc3c(-c4ccc(S(C)(=O)=O)cc4)ccc(n3n1)COCSC2,[25*]COCS[32*];[25*]COC[31*];[28*]OCS[32*];[5*]CSCOC[25*];[5*]CSCO[28*];[5*]CSC[29*];[8*]c1cc(CSCO[28*])ccc1OC;[8*]c1cc(CSC[29*])ccc1OC;[8*]c1cc(CS[30*])ccc1OC;[8*]c1cc(C[31*])ccc1OC;[8*]c1cc([32*])ccc1OC;[9*]Nc1cc(CSC[29*])ccc1OC;[9*]Nc1cc(CS[30*])ccc1OC;[9*]Nc1cc(C[31*])ccc1OC;[9*]Nc1cc([32*])ccc1OC,CAND_8f58782c4d,WZVJNUBMAYWWLX-UHFFFAOYSA-N,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,5.0,0.035574,0.017479,7.0,5.0,12.0,oxa,0.521147,0.005101,0.002659,0.002659,0.152458,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,5.0,0.035574,0.017479,7.0,6.0,13.0,aza_oxa,0.020987,0.943495,0.019801,0.019801,0.276484,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,5.0,0.035574,0.017479,7.0,6.0,13.0,oxa_thio,0.020987,0.050849,0.001067,0.001067,0.300985,rejected_known_linker,COc1ccc2cc1Nc1nc3c(-c4ccc(S(C)(=O)=O)cc4)ccc(n3n1)CCOCSC2,[25*]CCOCS[33*];[25*]CCOC[32*];[25*]CCO[31*];[28*]COCS[33*];[28*]COC[32*];[29*]OCS[33*];[5*]CSCOCC[25*];[5*]CSCOC[28*];[5*]CSCO[29*];[5*]CSC[30*];[8*]c1cc(CSCO[29*])ccc1OC;[8*]c1cc(CSC[30*])ccc1OC;[8*]c1cc(CS[31*])ccc1OC;[8*]c1cc(C[32*])ccc1OC;[8*]c1cc([33*])ccc1OC;[9*]Nc1cc(CSC[30*])ccc1OC;[9*]Nc1cc(CS[31*])ccc1OC;[9*]Nc1cc(C[32*])ccc1OC;[9*]Nc1cc([33*])ccc1OC,,,[5*]CSC[30*]
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,5.0,0.035574,0.017479,7.0,6.0,13.0,oxa,0.020987,0.005101,0.000107,0.000107,0.149596,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,4.0,0.035574,0.017163,8.0,5.0,13.0,aza_oxa,0.641916,0.934378,0.599791,0.599791,0.160157,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,4.0,0.035574,0.017163,8.0,5.0,13.0,diaza,0.641916,0.058343,0.037451,0.037451,0.242239,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,4.0,0.035574,0.017163,8.0,5.0,13.0,oxa,0.641916,0.003976,0.002552,0.002552,0.162305,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,4.0,0.035574,0.017163,8.0,8.0,16.0,aza_oxa,0.109502,0.934378,0.102317,0.102317,0.276674,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,4.0,0.035574,0.017163,8.0,8.0,16.0,diaza,0.109502,0.058343,0.006389,0.006389,0.227483,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,4.0,0.035574,0.017163,8.0,8.0,16.0,oxa,0.109502,0.003976,0.000435,0.000435,0.156045,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,4.0,0.035574,0.017163,8.0,9.0,17.0,aza_oxa,0.094136,0.934378,0.087959,0.087959,0.268145,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,4.0,0.035574,0.017163,8.0,9.0,17.0,diaza,0.094136,0.058343,0.005492,0.005492,0.223436,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,4.0,0.035574,0.017163,8.0,9.0,17.0,oxa,0.094136,0.003976,0.000374,0.000374,0.156173,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,18.0,0.035574,0.013555,9.0,5.0,14.0,aza,0.822771,0.78492,0.645809,0.645809,0.207005,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,18.0,0.035574,0.013555,9.0,5.0,14.0,diaza,0.822771,0.19922,0.163913,0.163913,0.250508,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,18.0,0.035574,0.013555,9.0,5.0,14.0,aza_oxa,0.822771,0.015393,0.012665,0.012665,0.304976,rejected_known_linker,COc1ccccc1Nc1nc2c3ccc(n2n1)CNCOCCS(=O)(=O)c1ccc-3cc1,[12*]c1ccc(S(=O)(=O)CCO[20*])cc1;[12*]c1ccc(S(=O)(=O)CC[21*])cc1;[12*]c1ccc(S(=O)(=O)C[22*])cc1;[12*]c1ccc(S([23*])(=O)=O)cc1;[12*]c1ccc([24*])cc1;[15*]CNCOCCS([27*])(=O)=O;[15*]CNCOCC[24*];[15*]CNCOC[23*];[15*]CNCO[22*];[15*]CNC[21*];[18*]NCOCCS([27*])(=O)=O;[18*]NCOCC[24*];[18*]NCOC[23*];[18*]NCO[22*];[19*]COCCS([27*])(=O)=O;[19*]COCC[24*];[19*]COC[23*];[20*]OCCS([27*])(=O)=O;[20*]OCC[24*];[21*]CCS([27*])(=O)=O;[22*]CS([27*])(=O)=O,,,[19*]COC[23*]
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,18.0,0.035574,0.013555,9.0,6.0,15.0,aza,0.073901,0.78492,0.058006,0.058006,0.166186,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,18.0,0.035574,0.013555,9.0,6.0,15.0,diaza,0.073901,0.19922,0.014723,0.014723,0.247529,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,18.0,0.035574,0.013555,9.0,6.0,15.0,aza_oxa,0.073901,0.015393,0.001138,0.001138,0.305034,rejected_known_linker,COc1ccccc1Nc1nc2c3ccc(n2n1)CCNCOCCS(=O)(=O)c1ccc-3cc1,[12*]c1ccc(S(=O)(=O)CCO[21*])cc1;[12*]c1ccc(S(=O)(=O)CC[22*])cc1;[12*]c1ccc(S(=O)(=O)C[23*])cc1;[12*]c1ccc(S([24*])(=O)=O)cc1;[12*]c1ccc([25*])cc1;[15*]CCNCOCCS([28*])(=O)=O;[15*]CCNCOCC[25*];[15*]CCNCOC[24*];[15*]CCNCO[23*];[15*]CCNC[22*];[15*]CCN[21*];[18*]CNCOCCS([28*])(=O)=O;[18*]CNCOCC[25*];[18*]CNCOC[24*];[18*]CNCO[23*];[18*]CNC[22*];[19*]NCOCCS([28*])(=O)=O;[19*]NCOCC[25*];[19*]NCOC[24*];[19*]NCO[23*];[20*]COCCS([28*])(=O)=O;[20*]COCC[25*];[20*]COC[24*];[21*]OCCS([28*])(=O)=O;[21*]OCC[25*];[22*]CCS([28*])(=O)=O;[23*]CS([28*])(=O)=O,,,[20*]COC[24*]
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,18.0,0.035574,0.013555,9.0,4.0,13.0,aza,0.029939,0.78492,0.0235,0.0235,0.180572,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,18.0,0.035574,0.013555,9.0,4.0,13.0,diaza,0.029939,0.19922,0.005965,0.005965,0.255753,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,18.0,0.035574,0.013555,9.0,4.0,13.0,aza_oxa,0.029939,0.015393,0.000461,0.000461,0.292488,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,6.0,0.035574,0.010231,6.0,6.0,12.0,aza_oxa,0.003082,0.967147,0.002981,0.002981,0.261871,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,6.0,0.035574,0.010231,6.0,6.0,12.0,oxa_thio,0.003082,0.032724,0.000101,0.000101,0.284502,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,6.0,0.035574,0.010231,6.0,6.0,12.0,oxa,0.003082,0.000115,0.0,0.0,0.141396,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,3.0,0.035574,0.010185,7.0,5.0,12.0,aza_oxa,0.521147,0.943495,0.4917,0.4917,0.196227,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,3.0,0.035574,0.010185,7.0,5.0,12.0,oxa_thio,0.521147,0.050849,0.0265,0.0265,0.305698,valid_output,COc1c2cccc1Nc1nc3c(-c4ccc(S(C)(=O)=O)cc4)ccc(n3n1)COCSC2,[25*]COCS[32*];[25*]COC[31*];[28*]OCS[32*];[3*]CSCOC[25*];[3*]CSCO[28*];[3*]CSC[29*];[8*]c1cccc(CSCO[28*])c1OC;[8*]c1cccc(CSC[29*])c1OC;[8*]c1cccc(CS[30*])c1OC;[8*]c1cccc(C[31*])c1OC;[8*]c1cccc([32*])c1OC;[9*]Nc1cccc(CSC[29*])c1OC;[9*]Nc1cccc(CS[30*])c1OC;[9*]Nc1cccc(C[31*])c1OC;[9*]Nc1cccc([32*])c1OC,CAND_0ea6b3bd67,GFTMCJSHGRIVKS-UHFFFAOYSA-N,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,3.0,0.035574,0.010185,7.0,5.0,12.0,oxa,0.521147,0.005101,0.002659,0.002659,0.152393,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,3.0,0.035574,0.010185,7.0,6.0,13.0,aza_oxa,0.020987,0.943495,0.019801,0.019801,0.276453,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,3.0,0.035574,0.010185,7.0,6.0,13.0,oxa_thio,0.020987,0.050849,0.001067,0.001067,0.300876,valid_output,COc1c2cccc1Nc1nc3c(-c4ccc(S(C)(=O)=O)cc4)ccc(n3n1)CCOCSC2,[25*]CCOCS[33*];[25*]CCOC[32*];[25*]CCO[31*];[28*]COCS[33*];[28*]COC[32*];[29*]OCS[33*];[3*]CSCOCC[25*];[3*]CSCOC[28*];[3*]CSCO[29*];[3*]CSC[30*];[8*]c1cccc(CSCO[29*])c1OC;[8*]c1cccc(CSC[30*])c1OC;[8*]c1cccc(CS[31*])c1OC;[8*]c1cccc(C[32*])c1OC;[8*]c1cccc([33*])c1OC;[9*]Nc1cccc(CSC[30*])c1OC;[9*]Nc1cccc(CS[31*])c1OC;[9*]Nc1cccc(C[32*])c1OC;[9*]Nc1cccc([33*])c1OC,CAND_0f3be20d2f,FHFSKGKUKFJYKM-UHFFFAOYSA-N,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,3.0,0.035574,0.010185,7.0,6.0,13.0,oxa,0.020987,0.005101,0.000107,0.000107,0.149558,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,15.0,0.035574,0.009901,6.0,7.0,13.0,aza_oxa,0.033666,0.97334,0.032769,0.032769,0.254811,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,15.0,0.035574,0.009901,6.0,7.0,13.0,oxa,0.033666,0.026657,0.000897,0.000897,0.140863,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,15.0,0.035574,0.009901,6.0,7.0,13.0,dioxa,0.033666,1e-06,0.0,0.0,0.264148,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,21.0,0.035574,0.009901,6.0,7.0,13.0,aza_oxa,0.033666,0.97334,0.032769,0.032769,0.254811,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,21.0,0.035574,0.009901,6.0,7.0,13.0,oxa,0.033666,0.026657,0.000897,0.000897,0.140863,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,21.0,0.035574,0.009901,6.0,7.0,13.0,dioxa,0.033666,1e-06,0.0,0.0,0.264148,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,0.0,5.0,0.020879,0.017479,5.0,9.0,14.0,aza_oxa,0.137031,0.999779,0.137001,0.137001,0.231804,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,0.0,5.0,0.020879,0.017479,5.0,9.0,14.0,oxa_thio,0.137031,0.000152,2.1e-05,2.1e-05,0.243795,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,0.0,5.0,0.020879,0.017479,5.0,9.0,14.0,alkyl,0.137031,5.9e-05,8e-06,8e-06,0.140919,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,0.0,4.0,0.020879,0.017163,4.0,9.0,13.0,thioether,0.475833,0.476758,0.226857,0.226857,0.138853,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,0.0,4.0,0.020879,0.017163,4.0,9.0,13.0,aza_oxa,0.475833,0.407985,0.194132,0.194132,0.220975,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,0.0,4.0,0.020879,0.017163,4.0,9.0,13.0,alkyl,0.475833,0.115241,0.054835,0.054835,0.134283,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,0.0,4.0,0.020879,0.017163,4.0,10.0,14.0,thioether,0.347014,0.476758,0.165441,0.165441,0.140005,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,0.0,4.0,0.020879,0.017163,4.0,10.0,14.0,aza_oxa,0.347014,0.407985,0.141576,0.141576,0.21519,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,0.0,4.0,0.020879,0.017163,4.0,10.0,14.0,alkyl,0.347014,0.115241,0.03999,0.03999,0.1355,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,0.0,4.0,0.020879,0.017163,4.0,11.0,15.0,thioether,0.082647,0.476758,0.039402,0.039402,0.142865,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,0.0,4.0,0.020879,0.017163,4.0,11.0,15.0,aza_oxa,0.082647,0.407985,0.033719,0.033719,0.209258,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,0.0,4.0,0.020879,0.017163,4.0,11.0,15.0,alkyl,0.082647,0.115241,0.009524,0.009524,0.137253,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,0.0,18.0,0.020879,0.013555,14.0,4.0,18.0,aza,0.911624,0.991911,0.904249,0.904249,0.16001,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,0.0,18.0,0.020879,0.013555,14.0,4.0,18.0,oxa,0.911624,0.00625,0.005697,0.005697,0.257106,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,0.0,18.0,0.020879,0.013555,14.0,4.0,18.0,aza_oxa,0.911624,0.000999,0.000911,0.000911,0.321844,rejected_known_linker,O=S1(=O)CCCCCCOc2ccccc2Nc2nc3c(cccn3n2)-c2ccc1cc2,[1*]CCCCCCO[10*];[1*]CCCCCC[9*];[1*]CCCCC[8*];[1*]CCCC[7*];[1*]CCC[6*];[1*]c1ccc([20*])cc1;[10*]OCCCCCCS([29*])(=O)=O;[15*]Nc1nc2c([26*])cccn2n1;[16*]c1nc2c([26*])cccn2n1;[3*]CCCCCO[10*];[3*]CCCCCOc1ccccc1[16*];[3*]CCCCC[9*];[3*]CCCC[8*];[3*]CCC[7*];[3*]S(=O)(=O)c1ccc([20*])cc1;[4*]CCCCO[10*];[4*]CCCCOc1ccccc1N[17*];[4*]CCCCOc1ccccc1[16*];[4*]CCCC[9*];[4*]CCC[8*];[4*]CS(=O)(=O)c1ccc([20*])cc1;[4*]CS([29*])(=O)=O;[5*]CCCO[10*];[5*]CCCOc1ccccc1N[17*];[5*]CCCOc1ccccc1[16*];[5*]CCC[9*];[5*]CCS(=O)(=O)c1ccc([20*])cc1;[5*]CCS([29*])(=O)=O;[6*]CCCS(=O)(=O)c1ccc([20*])cc1;[6*]CCCS([29*])(=O)=O;[6*]CCO[10*];[6*]CCOc1ccccc1N[17*];[6*]CCOc1ccccc1[16*];[7*]CCCCS([29*])(=O)=O;[7*]COc1ccccc1N[17*];[7*]COc1ccccc1[16*];[8*]CCCCCS([29*])(=O)=O;[8*]Oc1ccccc1N[17*];[8*]Oc1ccccc1[16*];[9*]CCCCCCS([29*])(=O)=O;[9*]c1ccccc1N[17*];[9*]c1ccccc1[16*],,,[3*]CCCCC[9*];[3*]CCCC[8*];[3*]CCC[7*];[4*]CCCC[9*];[4*]CCC[8*];[5*]CCC[9*];[6*]CCO[10*]
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,0.0,18.0,0.020879,0.013555,14.0,5.0,19.0,aza,0.088128,0.991911,0.087415,0.087415,0.24642,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,0.0,18.0,0.020879,0.013555,14.0,5.0,19.0,oxa,0.088128,0.00625,0.000551,0.000551,0.241232,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,0.0,18.0,0.020879,0.013555,14.0,5.0,19.0,aza_oxa,0.088128,0.000999,8.8e-05,8.8e-05,0.355634,rejected_known_linker,O=S1(=O)CCOCNCCOc2ccccc2Nc2nc3c(cccn3n2)-c2ccc1cc2,[1*]CCOCNCCO[11*];[1*]CCOCNCC[10*];[1*]CCOCNC[9*];[1*]CCOCN[8*];[1*]CCOC[7*];[1*]CCO[6*];[1*]c1ccc([21*])cc1;[10*]CCNCOCCS([30*])(=O)=O;[10*]c1ccccc1N[18*];[10*]c1ccccc1[17*];[11*]OCCNCOCCS([30*])(=O)=O;[16*]Nc1nc2c([27*])cccn2n1;[17*]c1nc2c([27*])cccn2n1;[3*]COCNCCO[11*];[3*]COCNCC[10*];[3*]COCNC[9*];[3*]COCN[8*];[3*]COC[7*];[3*]S(=O)(=O)c1ccc([21*])cc1;[4*]CS(=O)(=O)c1ccc([21*])cc1;[4*]CS([30*])(=O)=O;[4*]OCNCCO[11*];[4*]OCNCCOc1ccccc1[17*];[4*]OCNCC[10*];[4*]OCNC[9*];[4*]OCN[8*];[5*]CCS(=O)(=O)c1ccc([21*])cc1;[5*]CCS([30*])(=O)=O;[5*]CNCCO[11*];[5*]CNCCOc1ccccc1N[18*];[5*]CNCCOc1ccccc1[17*];[5*]CNCC[10*];[5*]CNC[9*];[6*]NCCO[11*];[6*]NCCOc1ccccc1N[18*];[6*]NCCOc1ccccc1[17*];[6*]NCC[10*];[6*]OCCS(=O)(=O)c1ccc([21*])cc1;[6*]OCCS([30*])(=O)=O;[7*]CCO[11*];[7*]CCOc1ccccc1N[18*];[7*]CCOc1ccccc1[17*];[7*]COCCS([30*])(=O)=O;[8*]COc1ccccc1N[18*];[8*]COc1ccccc1[17*];[8*]NCOCCS([30*])(=O)=O;[9*]CNCOCCS([30*])(=O)=O;[9*]Oc1ccccc1N[18*];[9*]Oc1ccccc1[17*],,,[3*]COC[7*];[5*]CNCC[10*];[5*]CNC[9*];[6*]NCC[10*];[7*]CCO[11*]
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,0.0,18.0,0.020879,0.013555,14.0,6.0,20.0,aza,0.000247,0.991911,0.000245,0.000245,0.229827,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,0.0,18.0,0.020879,0.013555,14.0,6.0,20.0,oxa,0.000247,0.00625,2e-06,2e-06,0.229931,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,0.0,18.0,0.020879,0.013555,14.0,6.0,20.0,aza_oxa,0.000247,0.000999,0.0,0.0,0.367024,filtered_non_macrocycle_or_basic_filters,O=S1(=O)CCOCNCCCOc2ccccc2Nc2nc3c(cccn3n2)-c2ccc1cc2,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,0.0,24.0,0.020879,0.012594,9.0,9.0,18.0,aza,0.394578,0.750553,0.296152,0.296152,0.162178,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,0.0,24.0,0.020879,0.012594,9.0,9.0,18.0,diaza,0.394578,0.243836,0.096213,0.096213,0.234891,rejected_by_reward_model,,,,,
