fragment_id,mol_id,linker_smiles,chemotype_label
FRAG_e663b332ec,JAK2_e510bd5a84,[7*]c1cc(N)cc(COC[24*])c1,aza_oxa
FRAG_5ac7541912,JAK2_e510bd5a84,[7*]c1cc(N)cc(CO[25*])c1,aza_oxa
FRAG_4f54681369,JAK2_e510bd5a84,[7*]c1cc(N)cc(C[26*])c1,aza
FRAG_dfd1c377ff,JAK2_e510bd5a84,[7*]c1cc([27*])cc(N)c1,aza
FRAG_d670a803fb,JAK2_e510bd5a84,[7*]c1nccc([14*])n1,diaza
FRAG_a9bb6e3f47,JAK2_e510bd5a84,[7*]c1nccc(-c2cccc([20*])c2)n1,diaza
FRAG_4eb9c70d14,JAK2_e510bd5a84,[8*]Nc1cc(N)cc(COC[24*])c1,aza_oxa
FRAG_943e16190c,JAK2_e510bd5a84,[8*]Nc1cc(N)cc(CO[25*])c1,aza_oxa
FRAG_0e6ac2ac98,JAK2_e510bd5a84,[8*]Nc1cc(N)cc(C[26*])c1,diaza
FRAG_ebf92c0b36,JAK2_e510bd5a84,[8*]Nc1cc([27*])cc(N)c1,diaza
FRAG_3a8ab8045e,JAK2_e510bd5a84,[12*]c1cccc([20*])c1,alkyl
FRAG_3527ca8413,JAK2_e510bd5a84,[12*]c1cccc(C[21*])c1,alkyl
FRAG_fd550c27f3,JAK2_e510bd5a84,[12*]c1cccc(CO[22*])c1,oxa
FRAG_bb82302877,JAK2_e510bd5a84,[12*]c1cccc(COC[23*])c1,oxa
FRAG_6835050110,JAK2_e510bd5a84,[12*]c1cccc(COCC=C[25*])c1,oxa
FRAG_5b1e5f8960,JAK2_e510bd5a84,[12*]c1cccc(COCC=CC[26*])c1,oxa
FRAG_c81acba5f2,JAK2_e510bd5a84,[18*]COC[23*],oxa
FRAG_d43d21c7a9,JAK2_e510bd5a84,[18*]COCC=C[25*],oxa
FRAG_bfc1363d30,JAK2_e510bd5a84,[18*]COCC=CC[26*],oxa
FRAG_b7d18a41a7,JAK2_e510bd5a84,[18*]COCC=CCO[27*],dioxa
FRAG_6520673d8f,JAK2_e510bd5a84,[3*]COCC=CCOC[18*],dioxa
FRAG_3bcdc4d64a,JAK2_e510bd5a84,[20*]OCC=C[25*],oxa
FRAG_62545abd3d,JAK2_e510bd5a84,[20*]OCC=CC[26*],oxa
FRAG_63aa831e28,JAK2_e510bd5a84,[20*]OCC=CCO[27*],dioxa
FRAG_7772ab121c,JAK2_e510bd5a84,[3*]COCC=CCO[20*],dioxa
FRAG_acdee6d649,JAK2_e510bd5a84,[21*]CC=C[25*],alkyl
FRAG_20de5b0339,JAK2_e510bd5a84,[21*]CC=CC[26*],alkyl
FRAG_4f50329487,JAK2_e510bd5a84,[21*]CC=CCO[27*],oxa
FRAG_d1634e3d97,JAK2_e510bd5a84,[3*]COCC=CC[21*],oxa
FRAG_a84970a426,JAK2_e510bd5a84,[22*]C=CC[26*],alkyl
FRAG_308ff7650b,JAK2_e510bd5a84,[22*]C=CCO[27*],oxa
FRAG_7010760aa8,JAK2_e510bd5a84,[3*]COCC=C[22*],oxa
FRAG_6318d00e7c,JAK2_e510bd5a84,[3*]COC[24*],oxa
FRAG_b058d8ef82,JAK2_396d75ed4a,[6*]COC[10*],oxa
FRAG_06e358918f,JAK2_396d75ed4a,[6*]COCC=C[12*],oxa
FRAG_5d0d25e97c,JAK2_396d75ed4a,[6*]COCC=CC[13*],oxa
FRAG_5ee5cba593,JAK2_396d75ed4a,[6*]COCC=CCO[14*],dioxa
FRAG_38916a6e0c,JAK2_396d75ed4a,[6*]COCC=CCOC[15*],dioxa
FRAG_9f8836b932,JAK2_396d75ed4a,[7*]c1cc(N[25*])ccc1O,aza_oxa
FRAG_dc7a4e3a17,JAK2_396d75ed4a,[7*]c1cc([27*])ccc1O,oxa
FRAG_3523a79096,JAK2_396d75ed4a,[7*]OCC=C[12*],oxa
FRAG_e920daaa73,JAK2_396d75ed4a,[7*]OCC=CC[13*],oxa
FRAG_3aecbc06eb,JAK2_396d75ed4a,[7*]OCC=CCO[14*],dioxa
FRAG_a18e38aa19,JAK2_396d75ed4a,[7*]OCC=CCOC[15*],dioxa
FRAG_7201ebbc1e,JAK2_396d75ed4a,[8*]Cc1cc(N[25*])ccc1O,aza_oxa
FRAG_9a70f6b780,JAK2_396d75ed4a,[8*]Cc1cc([27*])ccc1O,oxa
FRAG_076393eb23,JAK2_396d75ed4a,[8*]CC=C[12*],alkyl
FRAG_b1b072a8eb,JAK2_396d75ed4a,[8*]CC=CC[13*],alkyl
FRAG_1b35c32771,JAK2_396d75ed4a,[8*]CC=CCO[14*],oxa
FRAG_26024479bb,JAK2_396d75ed4a,[8*]CC=CCOC[15*],oxa
FRAG_5ff71aa57c,JAK2_396d75ed4a,[8*]CC=CCOCc1cccc([21*])c1,oxa
FRAG_99f327d23e,JAK2_396d75ed4a,[9*]OCc1cc(N[25*])ccc1O,oxa_aza
FRAG_266d7c2d8d,JAK2_396d75ed4a,[9*]OCc1cc([27*])ccc1O,dioxa
FRAG_e181e83708,JAK2_396d75ed4a,[9*]C=CC[13*],alkyl
FRAG_5e3f037810,JAK2_396d75ed4a,[9*]C=CCO[14*],oxa
FRAG_b2eb1da8b5,JAK2_396d75ed4a,[9*]C=CCOC[15*],oxa
FRAG_e64ed8c8dd,JAK2_396d75ed4a,[9*]C=CCOCc1cccc([21*])c1,oxa
FRAG_8203455fbd,JAK2_396d75ed4a,[10*]COCc1cc(N[25*])ccc1O,oxa_aza
FRAG_d6f27b0f5e,JAK2_396d75ed4a,[10*]COCc1cc([27*])ccc1O,dioxa
FRAG_204794422c,JAK2_396d75ed4a,[11*]COC[15*],oxa
FRAG_cd41238152,JAK2_396d75ed4a,[11*]COCc1cccc([21*])c1,oxa
FRAG_4df80d4cf5,JAK2_396d75ed4a,[12*]C=CCOCc1cc([27*])ccc1O,dioxa
FRAG_4c632f0b75,JAK2_396d75ed4a,[12*]OCc1cccc([21*])c1,oxa
FRAG_5569992bed,JAK2_396d75ed4a,[13*]Cc1cccc([21*])c1,alkyl
FRAG_6630a5b841,JAK2_396d75ed4a,[14*]c1cccc([21*])c1,alkyl
FRAG_da5a717f58,JAK2_396d75ed4a,[14*]c1cccc(-c2ccnc([27*])n2)c1,diaza
FRAG_43ce927fcd,JAK2_396d75ed4a,[19*]c1ccnc([27*])n1,diaza
FRAG_919b561fe3,JAK2_396d75ed4a,[4*]Nc1nccc([19*])n1,diaza
FRAG_77f9417ae3,JAK2_ae95950785,[1*]C/C=C/[5*],alkyl
FRAG_11f75ffda0,JAK2_ae95950785,[1*]C/C=C/C[6*],alkyl
FRAG_f4c52f1163,JAK2_ae95950785,[1*]C/C=C/CC[7*],alkyl
FRAG_045bd6ad61,JAK2_ae95950785,[1*]C/C=C/CCO[8*],oxa
FRAG_2627ba306c,JAK2_ae95950785,[2*]N(C)Cc1cccc(N[19*])c1,diaza
FRAG_81fc0e589d,JAK2_ae95950785,[2*]N(C)Cc1cccc([21*])c1,aza
FRAG_67cd68cc35,JAK2_ae95950785,[2*]N(C)C[26*],aza
FRAG_b4bdb6cd4a,JAK2_ae95950785,[2*]/C=C/C[6*],alkyl
FRAG_1c6406ebe3,JAK2_ae95950785,[2*]/C=C/CC[7*],alkyl
FRAG_e7ea299fad,JAK2_ae95950785,[2*]/C=C/CCO[8*],oxa
FRAG_5625647c9e,JAK2_ae95950785,[2*]/C=C/CCOc1cc([15*])cc(F)c1,oxa
FRAG_726cd1e0cd,JAK2_ae95950785,[3*]CN(C)Cc1cccc(N[19*])c1,diaza
FRAG_cfa5025e58,JAK2_ae95950785,[3*]CN(C)Cc1cccc([21*])c1,aza
FRAG_679a9449c7,JAK2_ae95950785,[3*]CN(C)C[26*],aza
FRAG_d6fa87cbf6,JAK2_ae95950785,[3*]CN([28*])C,aza
FRAG_ab4f65a1ac,JAK2_ae95950785,[4*]CCO[8*],oxa
FRAG_5765101493,JAK2_ae95950785,[4*]CCOc1cc([15*])cc(F)c1,oxa
FRAG_3f934c6740,JAK2_ae95950785,[5*]/C=C/CN(C)Cc1cccc([21*])c1,aza
FRAG_bd140b3d80,JAK2_ae95950785,[5*]/C=C/CN(C)C[26*],aza
FRAG_63d66ae348,JAK2_ae95950785,[5*]/C=C/CN([28*])C,aza
FRAG_f57720a75c,JAK2_ae95950785,[5*]COc1cc([15*])cc(F)c1,oxa
FRAG_22cd3b8fd4,JAK2_ae95950785,[6*]C/C=C/CN(C)C[26*],aza
FRAG_9593a90990,JAK2_ae95950785,[6*]C/C=C/CN([28*])C,aza
FRAG_3a6c12a747,JAK2_ae95950785,[6*]Oc1cc([15*])cc(F)c1,oxa
FRAG_3bb2ba7c9f,JAK2_ae95950785,[7*]CC/C=C/CN(C)C[26*],aza
FRAG_4c11528fcf,JAK2_ae95950785,[7*]CC/C=C/CN([28*])C,aza
FRAG_145f559da9,JAK2_ae95950785,[7*]c1cc([15*])cc(F)c1,alkyl
FRAG_84df3a1f3a,JAK2_ae95950785,[8*]OCC/C=C/CN(C)C[26*],oxa_aza
FRAG_9bd2e1ead9,JAK2_ae95950785,[8*]OCC/C=C/CN([28*])C,oxa_aza
FRAG_3f06b74286,JAK2_ae95950785,[13*]c1ccnc([21*])n1,diaza
FRAG_df67f8edce,JAK2_ae95950785,[13*]c1ccnc(N[22*])n1,diaza
FRAG_77e0ebec3a,JAK2_ae95950785,[19*]Nc1cccc([28*])c1,aza
FRAG_80eec3aeb8,JAK2_ae95950785,[1*]Cc1cccc(N[19*])c1,aza
FRAG_d8809a6241,JAK2_ae95950785,[21*]c1cccc([28*])c1,alkyl
FRAG_f430f3a912,JAK2_ae95950785,[1*]Cc1cccc([21*])c1,alkyl
FRAG_55dbfaa113,JAK2_756371ea71,[14*]Nc1nccc([23*])n1,diaza
FRAG_342a1a4e93,JAK2_756371ea71,[16*]c1nccc([23*])n1,diaza
FRAG_64521bc145,JAK2_756371ea71,[16*]c1nccc(-c2cccc([29*])c2)n1,diaza
FRAG_745ffed1fd,JAK2_756371ea71,[21*]c1cccc([29*])c1,alkyl
FRAG_5e26be0eb8,JAK2_756371ea71,[21*]c1cccc(C[30*])c1,alkyl
FRAG_523343f4d9,JAK2_756371ea71,[21*]c1cccc(CO[31*])c1,oxa
FRAG_0ab136d4d3,JAK2_756371ea71,[21*]c1cccc(COC[32*])c1,oxa
FRAG_7c146ca767,JAK2_756371ea71,[21*]c1cccc(COCC=C[34*])c1,oxa
FRAG_80c9a7225b,JAK2_756371ea71,[21*]c1cccc(COCC=CC[35*])c1,oxa
FRAG_d9fa214f4a,JAK2_756371ea71,[27*]COC[32*],oxa
FRAG_4543863ebc,JAK2_756371ea71,[27*]COCC=C[34*],oxa
FRAG_35a6f6171f,JAK2_756371ea71,[27*]COCC=CC[35*],oxa
FRAG_0fff78673d,JAK2_756371ea71,[27*]COCC=CCO[36*],dioxa
FRAG_e11653b79e,JAK2_756371ea71,[12*]COCC=CCOC[27*],dioxa
FRAG_97e95e2cdc,JAK2_756371ea71,[29*]OCC=C[34*],oxa
FRAG_49c98f1985,JAK2_756371ea71,[29*]OCC=CC[35*],oxa
FRAG_1a2adccdac,JAK2_756371ea71,[29*]OCC=CCO[36*],dioxa
FRAG_605970245d,JAK2_756371ea71,[12*]COCC=CCO[29*],dioxa
FRAG_daf0aa8f9f,JAK2_756371ea71,[30*]CC=C[34*],alkyl
FRAG_0d86fd4a50,JAK2_756371ea71,[30*]CC=CC[35*],alkyl
FRAG_d53c140fda,JAK2_756371ea71,[30*]CC=CCO[36*],oxa
FRAG_b15d660047,JAK2_756371ea71,[12*]COCC=CC[30*],oxa
FRAG_33a53ac13a,JAK2_756371ea71,[31*]C=CC[35*],alkyl
FRAG_bbd7e50b8e,JAK2_756371ea71,[31*]C=CCO[36*],oxa
FRAG_6c7639ca9b,JAK2_756371ea71,[12*]COCC=C[31*],oxa
FRAG_8af077025b,JAK2_756371ea71,[12*]COC[33*],oxa
FRAG_a7659e07b6,JAK2_2d7f8229b0,[1*]COc1cccc([10*])c1,oxa
FRAG_be4111dec3,JAK2_2d7f8229b0,[1*]COc1cccc(N[11*])c1,oxa_aza
FRAG_a7193abea7,JAK2_2d7f8229b0,[2*]C=CCCOc1cccc([15*])c1,oxa
FRAG_5f9858eb00,JAK2_2d7f8229b0,[2*]C=CCCO[21*],oxa
FRAG_838797ce76,JAK2_2d7f8229b0,[2*]C=CCC[23*],alkyl
FRAG_5f61272576,JAK2_2d7f8229b0,[2*]C=CC[24*],alkyl
FRAG_8e334a54d6,JAK2_2d7f8229b0,[2*]Oc1cccc([10*])c1,oxa
FRAG_bb5932ac2e,JAK2_2d7f8229b0,[2*]Oc1cccc(N[11*])c1,oxa_aza
FRAG_4665d53ada,JAK2_2d7f8229b0,[3*]CC=CCCOc1cccc([15*])c1,oxa
FRAG_2a20eac864,JAK2_2d7f8229b0,[3*]CC=CCCO[21*],oxa
FRAG_a2af25b633,JAK2_2d7f8229b0,[3*]CC=CCC[23*],alkyl
FRAG_4245c1b147,JAK2_2d7f8229b0,[3*]CC=CC[24*],alkyl
FRAG_7a1bc9e495,JAK2_2d7f8229b0,[3*]CC=C[25*],alkyl
FRAG_235e296fed,JAK2_2d7f8229b0,[3*]c1cccc([10*])c1,alkyl
FRAG_c2227d7366,JAK2_2d7f8229b0,[3*]c1cccc(N[11*])c1,aza
FRAG_0a39d9711a,JAK2_2d7f8229b0,[4*]OCC=CCCO[21*],dioxa
FRAG_dd961667c5,JAK2_2d7f8229b0,[4*]OCC=CCC[23*],oxa
FRAG_c79acbceba,JAK2_2d7f8229b0,[4*]OCC=CC[24*],oxa
FRAG_03f106e544,JAK2_2d7f8229b0,[4*]OCC=C[25*],oxa
FRAG_f8c8804913,JAK2_2d7f8229b0,[8*]Nc1nccc([17*])n1,diaza
FRAG_a416be6b8c,JAK2_2d7f8229b0,[10*]c1cccc(OCC=CCC[23*])c1,oxa
FRAG_1a492a4ee7,JAK2_2d7f8229b0,[10*]c1cccc(OCC=CC[24*])c1,oxa
FRAG_e4631d5ca1,JAK2_2d7f8229b0,[10*]c1cccc(OCC=C[25*])c1,oxa
FRAG_c86d4b7149,JAK2_2d7f8229b0,[10*]c1nccc([17*])n1,diaza
FRAG_562cd9b0c6,JAK2_2d7f8229b0,[10*]c1nccc(-c2cccc([23*])c2)n1,diaza
FRAG_a78a8b0f3d,JAK2_2d7f8229b0,[11*]Nc1cccc(OCC=CC[24*])c1,aza_oxa
FRAG_56817e0de8,JAK2_2d7f8229b0,[11*]Nc1cccc(OCC=C[25*])c1,aza_oxa
FRAG_b1784d9533,JAK2_2d7f8229b0,[15*]c1cccc([23*])c1,alkyl
FRAG_7dc8a0f1a5,JAK2_2d7f8229b0,[15*]c1cccc(O[24*])c1,oxa
FRAG_2938d307d6,JAK2_2d7f8229b0,[15*]c1cccc(OC[25*])c1,oxa
FRAG_91cc4c9002,JAK2_2d7f8229b0,*CCOc1cccc([15*])c1,oxa
FRAG_edd3854f5c,JAK2_2d7f8229b0,*CCO[21*],oxa
FRAG_66b683747c,JAK2_48bd1ba00c,[1*]C/C=C/[5*],alkyl
FRAG_25bf2d2dd4,JAK2_48bd1ba00c,[1*]C/C=C/C[6*],alkyl
FRAG_0d0da6fe0f,JAK2_48bd1ba00c,[1*]C/C=C/CO[7*],oxa
FRAG_f7e6c6103c,JAK2_48bd1ba00c,[1*]C/C=C/COC[8*],oxa
FRAG_e1899b0090,JAK2_48bd1ba00c,[1*]C/C=C/COCc1cccc([14*])c1,oxa
FRAG_c80afe06c8,JAK2_48bd1ba00c,[2*]N(C)Cc1cccc([19*])c1,aza
FRAG_5ada1f66e6,JAK2_48bd1ba00c,[2*]N(C)C[25*],aza
FRAG_3b1bd6b97a,JAK2_48bd1ba00c,[2*]/C=C/C[6*],alkyl
FRAG_9d33933f63,JAK2_48bd1ba00c,[2*]/C=C/CO[7*],oxa
FRAG_7e8b223f1c,JAK2_48bd1ba00c,[2*]/C=C/COC[8*],oxa
FRAG_837c73a635,JAK2_48bd1ba00c,[2*]/C=C/COCc1cccc([14*])c1,oxa
FRAG_b49cee332c,JAK2_48bd1ba00c,[2*]/C=C/COCc1cccc(N[15*])c1,oxa_aza
FRAG_bc28267f58,JAK2_48bd1ba00c,[3*]CN(C)Cc1cccc([19*])c1,aza
FRAG_9c04c63450,JAK2_48bd1ba00c,[3*]CN(C)C[25*],aza
FRAG_3ed862a1b5,JAK2_48bd1ba00c,[3*]CN([27*])C,aza
FRAG_ae39e5ddc2,JAK2_48bd1ba00c,[4*]COC[8*],oxa
FRAG_1170798d11,JAK2_48bd1ba00c,[4*]COCc1cccc([14*])c1,oxa
FRAG_448f9eb0b0,JAK2_48bd1ba00c,[4*]COCc1cccc(N[15*])c1,oxa_aza
FRAG_9c45cf3e21,JAK2_48bd1ba00c,[5*]/C=C/CN(C)Cc1cccc([19*])c1,aza
FRAG_8fc458084d,JAK2_48bd1ba00c,[5*]/C=C/CN(C)C[25*],aza
FRAG_5fee17356d,JAK2_48bd1ba00c,[5*]/C=C/CN([27*])C,aza
FRAG_641f3c3d5b,JAK2_48bd1ba00c,[5*]OCc1cccc([14*])c1,oxa
FRAG_a62c7a4d8d,JAK2_48bd1ba00c,[5*]OCc1cccc(N[15*])c1,oxa_aza
FRAG_71c81f851e,JAK2_48bd1ba00c,[6*]C/C=C/CN(C)C[25*],aza
FRAG_6ef5dfe3ff,JAK2_48bd1ba00c,[6*]C/C=C/CN([27*])C,aza
FRAG_f0d82a1d8d,JAK2_48bd1ba00c,[6*]Cc1cccc([14*])c1,alkyl
FRAG_c29d078cff,JAK2_48bd1ba00c,[6*]Cc1cccc(N[15*])c1,aza
FRAG_8b3d56a552,JAK2_48bd1ba00c,[7*]OC/C=C/CN(C)C[25*],oxa_aza
FRAG_22e2a92e93,JAK2_48bd1ba00c,[7*]OC/C=C/CN([27*])C,oxa_aza
FRAG_3ed3580e8f,JAK2_48bd1ba00c,[7*]c1cccc([14*])c1,alkyl
FRAG_8a35faac25,JAK2_48bd1ba00c,[7*]c1cccc(N[15*])c1,aza
FRAG_77fc7194e3,JAK2_48bd1ba00c,[8*]COC/C=C/CN(C)C[25*],oxa_aza
FRAG_bbf138fa57,JAK2_48bd1ba00c,[8*]COC/C=C/CN([27*])C,oxa_aza
FRAG_1e513318c5,JAK2_48bd1ba00c,[12*]Nc1nccc([21*])n1,diaza
FRAG_681d039dad,JAK2_48bd1ba00c,[14*]c1nccc([21*])n1,diaza
FRAG_2cdab008fd,JAK2_48bd1ba00c,[14*]c1nccc(-c2cccc([27*])c2)n1,diaza
FRAG_2ae9cbb874,JAK2_48bd1ba00c,[19*]c1cccc([27*])c1,alkyl
FRAG_474876231f,JAK2_48bd1ba00c,[1*]Cc1cccc([19*])c1,alkyl
FRAG_5f827f8d8a,JAK2_5e0d0678dd,[10*]COC[14*],oxa
FRAG_31b6d012f2,JAK2_5e0d0678dd,[10*]COCC=C[16*],oxa
FRAG_84cc7babbe,JAK2_5e0d0678dd,[10*]COCC=CC[17*],oxa
FRAG_c18ae77a73,JAK2_5e0d0678dd,[10*]COCC=CCO[18*],dioxa
FRAG_7791d63eb6,JAK2_5e0d0678dd,[10*]COCC=CCOC[19*],dioxa
FRAG_6343974270,JAK2_5e0d0678dd,[11*]OCC=C[16*],oxa
FRAG_c1ca5095c5,JAK2_5e0d0678dd,[11*]OCC=CC[17*],oxa
FRAG_86aa8fb93c,JAK2_5e0d0678dd,[11*]OCC=CCO[18*],dioxa
FRAG_db98d99b7c,JAK2_5e0d0678dd,[11*]OCC=CCOC[19*],dioxa
FRAG_d4e5fb7c5c,JAK2_5e0d0678dd,[12*]CC=C[16*],alkyl
FRAG_da8b21acf3,JAK2_5e0d0678dd,[12*]CC=CC[17*],alkyl
FRAG_fe7a706216,JAK2_5e0d0678dd,[12*]CC=CCO[18*],oxa
FRAG_faf1c183fe,JAK2_5e0d0678dd,[12*]CC=CCOC[19*],oxa
FRAG_45908c7ba5,JAK2_5e0d0678dd,[12*]CC=CCOCc1cccc([25*])c1,oxa
FRAG_6b2eb4b835,JAK2_5e0d0678dd,[13*]C=CC[17*],alkyl
FRAG_641ab60ffa,JAK2_5e0d0678dd,[13*]C=CCO[18*],oxa
FRAG_77d378601f,JAK2_5e0d0678dd,[13*]C=CCOC[19*],oxa
FRAG_d0e127a4e8,JAK2_5e0d0678dd,[13*]C=CCOCc1cccc([25*])c1,oxa
FRAG_f11c3aa069,JAK2_5e0d0678dd,[15*]COC[19*],oxa
FRAG_09b017c634,JAK2_5e0d0678dd,[15*]COCc1cccc([25*])c1,oxa
FRAG_5a55f7af92,JAK2_5e0d0678dd,[16*]OCc1cccc([25*])c1,oxa
FRAG_4bf9d75e3d,JAK2_5e0d0678dd,[17*]Cc1cccc([25*])c1,alkyl
FRAG_eb12af43c9,JAK2_5e0d0678dd,[18*]c1cccc([25*])c1,alkyl
FRAG_bfc2f7bbb3,JAK2_5e0d0678dd,[18*]c1cccc(-c2ccnc([31*])n2)c1,diaza
FRAG_50cce83990,JAK2_5e0d0678dd,[23*]c1ccnc([31*])n1,diaza
FRAG_4dd97e960b,JAK2_5e0d0678dd,[8*]Nc1nccc([23*])n1,diaza
FRAG_76fa8841f6,JAK2_1b4ffa7121,[1*]CN([8*])CC1CC1,aza
FRAG_40e67d58ae,JAK2_1b4ffa7121,[1*]CN(C[9*])CC1CC1,aza
FRAG_dc3f5a7557,JAK2_1b4ffa7121,[2*]/C=C/CCOc1cccc([20*])c1,oxa
FRAG_bd83cb09a7,JAK2_1b4ffa7121,[2*]/C=C/CCO[26*],oxa
FRAG_b1441173ac,JAK2_1b4ffa7121,[2*]/C=C/CC[28*],alkyl
FRAG_4ef751a2c4,JAK2_1b4ffa7121,[2*]/C=C/C[29*],alkyl
FRAG_bd7ed3a718,JAK2_1b4ffa7121,[2*]N(C[9*])CC1CC1,aza
FRAG_983936732f,JAK2_1b4ffa7121,[2*]N(Cc1cccc([15*])c1)CC1CC1,aza
FRAG_c60b3e04c3,JAK2_1b4ffa7121,[3*]C/C=C/CCOc1cccc([20*])c1,oxa
FRAG_3a1f9ebcc8,JAK2_1b4ffa7121,[3*]C/C=C/CCO[26*],oxa
FRAG_7415b805ee,JAK2_1b4ffa7121,[3*]C/C=C/CC[28*],alkyl
FRAG_a71b2bc0cd,JAK2_1b4ffa7121,[3*]C/C=C/C[29*],alkyl
FRAG_fa6eba5ab6,JAK2_1b4ffa7121,[3*]C/C=C/[30*],alkyl
FRAG_d98da1614f,JAK2_1b4ffa7121,[3*]Cc1cccc([15*])c1,alkyl
FRAG_cebdf64fed,JAK2_1b4ffa7121,[3*]Cc1cccc(N[16*])c1,aza
FRAG_8f5447bbe6,JAK2_1b4ffa7121,[8*]N(C/C=C/CCO[26*])CC1CC1,aza_oxa
FRAG_a20f3f4e86,JAK2_1b4ffa7121,[8*]N(C/C=C/CC[28*])CC1CC1,aza
FRAG_a40372968f,JAK2_1b4ffa7121,[8*]N(C/C=C/C[29*])CC1CC1,aza
FRAG_3a0379a8a0,JAK2_1b4ffa7121,[8*]N(C/C=C/[30*])CC1CC1,aza
FRAG_f9932f4ccd,JAK2_1b4ffa7121,[8*]c1cccc([15*])c1,alkyl
FRAG_69c6f581f7,JAK2_1b4ffa7121,[8*]c1cccc(N[16*])c1,aza
FRAG_99974da9a6,JAK2_1b4ffa7121,[9*]CN(C/C=C/CCO[26*])CC1CC1,aza_oxa
FRAG_a220c64966,JAK2_1b4ffa7121,[9*]CN(C/C=C/CC[28*])CC1CC1,aza
FRAG_8381cf0075,JAK2_1b4ffa7121,[9*]CN(C/C=C/C[29*])CC1CC1,aza
FRAG_df6b50899d,JAK2_1b4ffa7121,[9*]CN(C/C=C/[30*])CC1CC1,aza
FRAG_6ffa3c8585,JAK2_1b4ffa7121,[13*]Nc1nccc([22*])n1,diaza
FRAG_909101718d,JAK2_1b4ffa7121,[15*]c1nccc([22*])n1,diaza
FRAG_3ad7078379,JAK2_1b4ffa7121,[15*]c1nccc(-c2cccc([28*])c2)n1,diaza
FRAG_d678299503,JAK2_1b4ffa7121,[20*]c1cccc([28*])c1,alkyl
FRAG_d03e4df640,JAK2_1b4ffa7121,[20*]c1cccc(O[29*])c1,oxa
FRAG_4b924480e4,JAK2_1b4ffa7121,[20*]c1cccc(OC[30*])c1,oxa
FRAG_3f9c2aebdd,JAK2_1b4ffa7121,*CCOc1cccc([20*])c1,oxa
FRAG_42dfcab456,JAK2_1b4ffa7121,*CCO[26*],oxa
FRAG_852dab133a,JAK2_b9ef0dccdb,[12*]COC[16*],oxa
FRAG_166f9e354c,JAK2_b9ef0dccdb,[12*]COCC=C[18*],oxa
FRAG_38a58dbaa6,JAK2_b9ef0dccdb,[12*]COCC=CC[19*],oxa
FRAG_93a7740ea0,JAK2_b9ef0dccdb,[12*]COCC=CCO[20*],dioxa
FRAG_0cd369e624,JAK2_b9ef0dccdb,[12*]COCC=CCOC[21*],dioxa
FRAG_b247ad3fd3,JAK2_b9ef0dccdb,[13*]OCC=C[18*],oxa
