candidate_id,canonical_smiles,se3_geometry_loss,se3_geometry_confidence,se3_geometry_status
CAND_f01d409d4a,Fc1cc2cc(F)c1CN1CCOCC1CSCC1CNCCC1n1cc(cn1)-c1cnc3cccc-2c3n1,6.422924,0.134718,scored
CAND_6f5c819abf,N#C[C@@H]1CC2CCCC3(CC3)c3cnc4[nH]cc(c4n3)C(=O)N[C@H](C3CC3)C(=O)N2C1,7.688159,0.115099,scored
CAND_bb18276fcc,N#C[C@@H]1CC2CSCC3(CC3)c3cnc4[nH]cc(c4n3)C(=O)N[C@H](C3CC3)C(=O)N2C1,6.699081,0.129886,scored
CAND_ff4ec3842f,CC(C)(C)[C@H]1NC(=O)c2c[nH]c3ncc(nc23)C2(CCCC3(C#N)CN(C3)C1=O)CC2,5.043843,0.165458,scored
CAND_423486dce5,N#CC1CN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CCCCCC24CC4)CC3)C1,16.074701,0.058566,scored
CAND_a28891a72c,CC(C)(C)[C@H]1NC(=O)c2c[nH]c3ncc(nc23)C2(CC2)CNCC2C(C#N)CN2C1=O,10.542929,0.086633,scored
CAND_76774df791,N#C[C@H]1CC2COCC3(CC3)c3cnc4[nH]cc(c4n3)C(=O)N[C@H](C3CC3)C(=O)N2C1,8.512981,0.10512,scored
CAND_4ea78847f9,CC(C)(C)[C@H]1NC(=O)c2c[nH]c3ncc(nc23)C2(CC2)COCC2(C#N)CN(C2)C1=O,6.705425,0.129779,scored
CAND_010738c49b,N#C[C@@H]1CC2CNCC3(CC3)c3cnc4[nH]cc(c4n3)C(=O)N[C@H](C3CC3)C(=O)N2C1,7.305086,0.120408,scored
CAND_44327fe5a9,N#C[C@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CCCC4CC42)CC3)C1,12.70081,0.072988,scored
CAND_584cb6401d,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3CCCC23CC3)C1,5.476384,0.154407,scored
CAND_ffa2b05eef,N#CC1CN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CC3)CNCC3CC32)C1,9.026503,0.099736,scored
CAND_d4292dc600,N#C[C@H]1CC2CNCC3(CC3)c3cnc4[nH]cc(c4n3)C(=O)N[C@H](C3CC3)C(=O)N2C1,8.309274,0.10742,scored
CAND_aaa379f29a,CC(C)(C)[C@H]1NC(=O)c2c[nH]c3ncc(nc23)C2(CC2)CSCC2(C#N)CN(C2)C1=O,7.407461,0.118942,scored
CAND_d6e2fc541d,CC(C)(C)[C@H]1NC(=O)c2c[nH]c3ncc(nc23)C2(CC2)CNCC2(C#N)CN(C2)C1=O,10.464242,0.087228,scored
CAND_7f6895293f,NC(=O)c1cnc2c3c1[nH]c1cc(ccc13)-c1ccc(nn1)N1CCS(=O)(=O)CC1CCCC1CC1[C@H](C(F)(F)F)N2,15.244431,0.06156,scored
CAND_38de1fc846,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3CSCC23CC3)C1,10.375048,0.087912,scored
CAND_02bca8d718,N#C[C@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3CSCC23CC3)C1,11.208452,0.08191,scored
CAND_6d30b04ba5,N#C[C@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CC3)COCC3CC32)C1,3.96813,0.201283,scored
CAND_1e356c92c8,N#C[C@@H]1CC2COCC3(CC3)c3cnc4[nH]cc(c4n3)C(=O)N[C@H](C3CC3)C(=O)N2C1,6.815394,0.127953,scored
CAND_b7ff913a58,N#CC12CCCCCCC3(CC3)c3cnc4[nH]cc(c4n3)C(=O)N[C@H](C3CC3)C(=O)N(C1)C2,7.474158,0.118006,scored
CAND_67e4c4c09b,N#CC12CCCSCCC3(CC3)c3cnc4[nH]cc(c4n3)C(=O)N[C@H](C3CC3)C(=O)N(C1)C2,9.296944,0.097116,scored
CAND_8b6de06a0f,N#CC1CN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CCOCCC24CC4)CC3)C1,9.662059,0.093791,scored
CAND_7f7760bbec,N#C[C@H]1CC2CCCC3(CC3)c3cnc4[nH]cc(c4n3)C(=O)N[C@H](C3CC3)C(=O)N2C1,5.423256,0.155684,scored
CAND_a6e2aca7fb,N#C[C@H]1CC2CSCC3(CC3)c3cnc4[nH]cc(c4n3)C(=O)N[C@H](C3CC3)C(=O)N2C1,9.730405,0.093193,scored
CAND_826c88beb5,CC(C)(C)[C@H]1NC(=O)c2c[nH]c3ncc(nc23)C2(CCCC3C(C#N)CN3C1=O)CC2,5.56175,0.152398,scored
CAND_49e76c18fa,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CCCC4CC42)CC3)C1,14.187359,0.065844,scored
CAND_7f998a5652,CC(C)(C)[C@H]1NC(=O)c2c[nH]c3ncc(nc23)C2(CCCOCCC3(C#N)CN(C3)C1=O)CC2,11.34716,0.08099,scored
CAND_d7295004a0,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CC3)CNCC3CC32)C1,12.846006,0.072223,scored
CAND_4e8257bdee,CC(C)(C)[C@H]1NC(=O)c2c[nH]c3ncc(nc23)C2(CCCNCCC3(C#N)CN(C3)C1=O)CC2,8.008272,0.111009,scored
CAND_79995adf19,NC(=O)c1cnc2c3c1[nH]c1cc(ccc13)-c1ccc(nn1)N1CCS(=O)(=O)C(CSCC3(CC3)[C@H](C(F)(F)F)N2)C1,16.292541,0.057828,scored
CAND_f14ad9ba35,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CC3)COCC3CC32)C1,10.312658,0.088397,scored
CAND_0e55be250e,N#CC12CCOCNCC3(CC3)c3cnc4[nH]cc(c4n3)C(=O)N[C@H](C3CC3)C(=O)N(C1)C2,11.13182,0.082428,scored
CAND_97556b1c56,N#CC1CN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CC3)CSCC3CC32)C1,5.742087,0.148322,scored
CAND_c71340cdb2,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3COCC23CC3)C1,9.619382,0.094167,scored
CAND_d7d5e569e3,NC(=O)c1cnc2c3c1[nH]c1cc(ccc13)-c1ccc(nn1)N1CCS(=O)(=O)CC1COCC1(CC1)[C@H](C(F)(F)F)N2,15.348719,0.061167,scored
CAND_e6c0627bb9,CC(C)(C)[C@H]1NC(=O)c2c[nH]c3ncc(nc23)C2(CCOCNCC3(C#N)CN(C3)C1=O)CC2,8.48809,0.105395,scored
CAND_956024a173,N#C[C@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CC3)CSCC3CC32)C1,9.220108,0.097846,scored
CAND_5a164fb16c,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CC3)CSCC3CC32)C1,13.140759,0.070718,scored
CAND_9d4c5cab6d,N#C[C@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3CNCC23CC3)C1,6.084853,0.141146,scored
CAND_4791e858cc,N#CC12CCCOCCC3(CC3)c3cnc4[nH]cc(c4n3)C(=O)N[C@H](C3CC3)C(=O)N(C1)C2,5.355893,0.157334,scored
CAND_6c9b69bfe2,N#C[C@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3COCC23CC3)C1,10.803727,0.084719,scored
CAND_1ec7ae5d21,NC(=O)c1cnc2c3c1[nH]c1cc(ccc13)-c1ccc(nn1)N1CCS(=O)(=O)C(CCCC3(CC3)[C@H](C(F)(F)F)N2)C1,10.306493,0.088445,scored
CAND_5fdf8771a8,CC(C)(C)[C@H]1NC(=O)c2c[nH]c3ncc(nc23)C2(CCCSCCC3(C#N)CN(C3)C1=O)CC2,10.717526,0.085342,scored
CAND_53308bee89,N#CC1CN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CC3)COCNCC23CC3)C1,7.996924,0.111149,scored
CAND_661d99e302,CC(C)(C)[C@H]1NC(=O)c2c[nH]c3ncc(nc23)C2(CC2)CSCC2C(C#N)CN2C1=O,14.883915,0.062957,scored
CAND_e16585ad8a,N#CC12CCCNCCC3(CC3)c3cnc4[nH]cc(c4n3)C(=O)N[C@H](C3CC3)C(=O)N(C1)C2,5.941365,0.144064,scored
CAND_893be87c2e,NC(=O)c1cnc2c3c1[nH]c1cc(ccc13)-c1ccc(nn1)N1CCS(=O)(=O)C(CNCC3(CC3)[C@H](C(F)(F)F)N2)C1,6.55053,0.132441,scored
CAND_bfdc82a98a,N#CC1CN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CCSCCC24CC4)CC3)C1,10.741939,0.085165,scored
CAND_2e11abfe19,O=C1Nc2c[nH]nc2-c2nc3ccc(cc3[nH]2)CN2CCOCC2CCOCCC2(CC2)N1,6.98138,0.125292,scored
CAND_492981f42f,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3CNCC23CC3)C1,6.91704,0.12631,scored
CAND_91833501ec,CC(C)(C)[C@H]1NC(=O)c2c[nH]c3ncc(nc23)C2(CCCCCCC3(C#N)CN(C3)C1=O)CC2,17.75689,0.053314,scored
CAND_453a8d70ca,O=C1Nc2c[nH]nc2-c2nc3ccc(cc3[nH]2)CN2CCOCC2CNCOCC2(CC2)N1,5.731223,0.148561,scored
CAND_b3c1e9c6e7,O=C1Nc2c[nH]nc2-c2nc3ccc(cc3[nH]2)CN2CCOCC2CCCCCC2(CC2)N1,16.128689,0.058382,scored
CAND_94f502517a,O=C1Nc2c[nH]nc2-c2nc3ccc(cc3[nH]2)CN2CCOCC2CNCOCCC2(CC2)N1,15.492414,0.060634,scored
CAND_8f245c542f,NC(=O)c1cnc2c3c1[nH]c1cc(ccc13)-c1ccc(nn1)N1CCS(=O)(=O)CC1CSCC1CC1[C@H](C(F)(F)F)N2,18.280981,0.051865,scored
CAND_c9a78f3f99,O=C1Nc2c[nH]nc2-c2nc3ccc(cc3[nH]2)CN2CCOCC2CCOCCCC2(CC2)N1,14.456184,0.064699,scored
CAND_d93664c4b9,N#C[C@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3CCCC23CC3)C1,6.854186,0.127321,scored
CAND_ee723190bd,Cc1cnc2nc1-c1cccc(c1)COCC=C1CNCC3CCN(CCOc4ccc(cc4COC1)N2)C3,4.431453,0.184113,scored
CAND_fd6a72e89d,N#C[C@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CC3)CNCC3CC32)C1,9.737363,0.093133,scored
CAND_6cb1768675,N#CC1CN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CCNCCC24CC4)CC3)C1,6.89628,0.126642,scored
CAND_da006e9e54,NC(=O)c1cnc2c3c1[nH]c1cc(ccc13)-c1ccc(nn1)N1CCS(=O)(=O)CC1CNCC1(CC1)[C@H](C(F)(F)F)N2,11.193214,0.082013,scored
CAND_3fc0103e7e,Cc1cnc2nc1-c1cccc(c1)COCC1=CCOCc3cc(ccc3OCCN3CCCC3CNC1)N2,15.663218,0.060012,scored
CAND_09deb650c1,O=C1Nc2c[nH]nc2-c2nc3ccc(cc3[nH]2)CN2CCOCC2CCSCCC2(CC2)N1,6.616093,0.131301,scored
CAND_61168e1ccf,Cc1cnc2nc1-c1cccc(c1)COCC=C1COCc3cc(ccc3OCCN3CCC(COC1)C3)N2,14.145171,0.066028,scored
CAND_ebd66c7b75,O=C1Nc2c[nH]nc2-c2nc3ccc(cc3[nH]2)CN2CCOCC2CCNCCC2(CC2)N1,11.426758,0.080472,scored
CAND_f0bd1b6255,NC(=O)c1cnc2c3c1[nH]c1cc(ccc13)-c1ccc(nn1)N1CCS(=O)(=O)CC1COCC1CC1[C@H](C(F)(F)F)N2,13.834807,0.067409,scored
CAND_34ad2a24d8,O=C1Nc2c[nH]nc2-c2nc3ccc(cc3[nH]2)CN2CCOCC2CCNCCCC2(CC2)N1,14.155263,0.065984,scored
CAND_28874e6ca5,Cc1cnc2nc1-c1cccc(c1)COCC1=CCOCc3cc(ccc3OCCN3CCCC3CCC1)N2,7.638799,0.115757,scored
CAND_5682a4f941,NC(=O)c1cnc2c3c1[nH]c1cc(ccc13)-c1ccc(nn1)N1CCS(=O)(=O)CC1CNCC1CC1[C@H](C(F)(F)F)N2,14.812033,0.063243,scored
CAND_6e7e0ee6d7,Cc1cnc2nc1-c1cccc(c1)COCC=C1CCCC3CCCN3CCOc3ccc(cc3COC1)N2,9.500087,0.095237,scored
CAND_0dab0539d2,O=C1Nc2c[nH]nc2-c2nc3ccc(cc3[nH]2)CN2CCOCC2CCCCCCC2(CC2)N1,12.135654,0.076129,scored
CAND_67bc1f8ccd,C1=C2\CNCC3CCCN3CCOc3ccc(cc3COC/1)Nc1nccc(n1)-c1ccc(s1)COC2,10.893662,0.084078,scored
CAND_35c4ee0b09,NC(=O)c1cnc2c3c1[nH]c1cc(ccc13)-c1ccc(nn1)N1CCS(=O)(=O)CC1CSCC1(CC1)[C@H](C(F)(F)F)N2,17.133312,0.055147,scored
CAND_d905c29100,Cc1cnc2nc1-c1cccc(c1)COCC=C1CNCC3CCCN3CCOc3ccc(cc3COC1)N2,11.591484,0.079419,scored
CAND_11be2ba7cd,C1=C2\CCCC3CCCN3CCOc3ccc(cc3COC2)Nc2nccc(n2)-c2ccc(s2)COC/1,15.799995,0.059524,scored
CAND_e275a7e3ff,Cc1cnc2nc1-c1cccc(c1)COCC=C1COCc3cc(ccc3OCCN3CCCC3CSC1)N2,15.666197,0.060002,scored
CAND_a8632b2da2,C1=C2/COCc3ccc(s3)-c3ccnc(n3)Nc3ccc(c(c3)COC/1)OCCN1CCCC1COC2,7.411614,0.118883,scored
CAND_ce765fd66c,Cc1cnc2nc1-c1cccc(c1)COCC=C1COCc3cc(ccc3OCCN3CCCC3COC1)N2,7.049418,0.124233,scored
CAND_72609efe2c,C1=C2/COCc3cc(ccc3OCCN3CCCC3COC2)Nc2nccc(n2)-c2ccc(s2)COC/1,10.598419,0.086219,scored
CAND_2aa8e00931,C1=C2\CNCC3CCN(CCOc4ccc(cc4COC2)Nc2nccc(n2)-c2ccc(s2)COC/1)C3,13.751822,0.067788,scored
CAND_5abda62ff8,Cc1cnc2nc1-c1cccc(c1)COCC=C1COCc3cc(ccc3OCCN3CCC(CSC1)C3)N2,5.020638,0.166095,scored
CAND_4b65fa0278,Cc1cnc2nc1-c1cccc(c1)COCC1=CCOCc3cc(ccc3OCCN3CCCC3COC1)N2,18.41345,0.051511,scored
CAND_2f2a0d40fd,NC(=O)c1cnc2c3c1[nH]c1cc(ccc13)-c1ccc(nn1)N1CCS(=O)(=O)C(COCC3(CC3)[C@H](C(F)(F)F)N2)C1,8.789751,0.102148,scored
CAND_1f4eb01ec0,Cc1cnc2nc1-c1cccc(c1)COCC=C1CCCC3CCN(CCOc4ccc(cc4COC1)N2)C3,5.227359,0.160582,scored
CAND_69ce89568d,C1=C2/COCc3cc(ccc3OCCN3CCC(COC2)C3)Nc2nccc(n2)-c2ccc(s2)COC/1,7.799194,0.113647,scored
CAND_637465f4e1,NC(=O)c1cnc2c3c1[nH]c1cc(ccc13)-c1ccc(nn1)N1CCS(=O)(=O)CC1CCCC1(CC1)[C@H](C(F)(F)F)N2,9.494952,0.095284,scored
CAND_f4705e122e,O=C1Nc2c[nH]nc2-c2nc3ccc(cc3[nH]2)CN2CCOCC2CCSCCCC2(CC2)N1,16.959836,0.05568,scored
CAND_a57d09f53c,Cc1cnc2nc1-c1cccc(c1)COCC1=CCOCc3cc(ccc3OCCN3CCCC3CSC1)N2,16.542446,0.057005,scored
CAND_d32750a6b3,C1=C2/COCc3cc(ccc3OCCN3CCC(CSC2)C3)Nc2nccc(n2)-c2ccc(s2)COC/1,9.316206,0.096935,scored
CAND_206c165320,C1=C2\CNCC3CCCN3CCOc3ccc(cc3COC2)Nc2nccc(n2)-c2ccc(s2)COC/1,8.991387,0.100086,scored
CAND_5c64fa89d0,C1=C2\CCCC3CCCN3CCOc3ccc(cc3COC/1)Nc1nccc(n1)-c1ccc(s1)COC2,11.440897,0.08038,scored
CAND_ec7238a2dd,C1=C2/COCc3ccc(s3)-c3ccnc(n3)Nc3ccc(c(c3)COC/1)OCCN1CCCC1CSC2,7.253678,0.121158,scored
CAND_ed05fcd36e,C1=C2/COCc3cc(ccc3OCCN3CCCC3CSC2)Nc2nccc(n2)-c2ccc(s2)COC/1,10.076511,0.090281,scored
CAND_581788b33e,C1=C2\CCCC3CCN(CCOc4ccc(cc4COC2)Nc2nccc(n2)-c2ccc(s2)COC/1)C3,9.912097,0.091641,scored
